DateInfo;Pressure
2009-07-28-00-00-00;111.152
2009-07-28-00-01-00;115.088
2009-07-28-00-02-00;112.822
2009-07-28-00-03-00;114.685
2009-07-28-00-04-00;113.242
2009-07-28-00-05-00;112.717
2009-07-28-00-06-00;111.983
2009-07-28-00-07-00;110.916
2009-07-28-00-08-00;117.344
2009-07-28-00-09-00;118.796
2009-07-28-00-10-00;111.482
2009-07-28-00-11-00;109.495
2009-07-28-00-12-00;109.678
2009-07-28-00-13-00;112.846
2009-07-28-00-14-00;116.022
2009-07-28-00-15-00;117.203
2009-07-28-00-16-00;109.597
2009-07-28-00-17-00;115.242
2009-07-28-00-18-00;113.308
2009-07-28-00-19-00;112.143
2009-07-28-00-20-00;114.516
2009-07-28-00-21-00;108.581
2009-07-28-00-22-00;108.975
2009-07-28-00-23-00;113.851
2009-07-28-00-24-00;116.057
2009-07-28-00-25-00;112.486
2009-07-28-00-26-00;111.724
2009-07-28-00-27-00;111.434
2009-07-28-00-28-00;108.641
2009-07-28-00-29-00;117.212
2009-07-28-00-30-00;112.335
2009-07-28-00-31-00;112.772
2009-07-28-00-32-00;112.781
2009-07-28-00-33-00;111.712
2009-07-28-00-34-00;113.113
2009-07-28-00-35-00;113.542
2009-07-28-00-36-00;110.092
2009-07-28-00-37-00;115.731
2009-07-28-00-38-00;118.008
2009-07-28-00-39-00;111.230
2009-07-28-00-40-00;112.578
2009-07-28-00-41-00;112.438
2009-07-28-00-42-00;111.317
2009-07-28-00-43-00;111.510
2009-07-28-00-44-00;111.220
2009-07-28-00-45-00;110.747
2009-07-28-00-46-00;114.198
2009-07-28-00-47-00;113.375
2009-07-28-00-48-00;113.270
2009-07-28-00-49-00;110.177
2009-07-28-00-50-00;113.032
2009-07-28-00-51-00;116.842
2009-07-28-00-52-00;112.135
2009-07-28-00-53-00;115.413
2009-07-28-00-54-00;114.370
2009-07-28-00-55-00;112.091
2009-07-28-00-56-00;107.622
2009-07-28-00-57-00;110.261
2009-07-28-00-58-00;111.672
2009-07-28-00-59-00;113.197
2009-07-28-01-00-00;113.145
2009-07-28-01-01-00;112.917
2009-07-28-01-02-00;108.343
2009-07-28-01-03-00;119.287
2009-07-28-01-04-00;113.863
2009-07-28-01-05-00;116.448
2009-07-28-01-06-00;111.496
2009-07-28-01-07-00;111.557
2009-07-28-01-08-00;114.125
2009-07-28-01-09-00;113.222
2009-07-28-01-10-00;111.153
2009-07-28-01-11-00;113.318
2009-07-28-01-12-00;113.651
2009-07-28-01-13-00;112.467
2009-07-28-01-14-00;110.537
2009-07-28-01-15-00;114.255
2009-07-28-01-16-00;113.544
2009-07-28-01-17-00;113.412
2009-07-28-01-18-00;112.026
2009-07-28-01-19-00;110.588
2009-07-28-01-20-00;109.440
2009-07-28-01-21-00;110.396
2009-07-28-01-22-00;115.807
2009-07-28-01-23-00;113.177
2009-07-28-01-24-00;111.352
2009-07-28-01-25-00;111.017
2009-07-28-01-26-00;113.051
2009-07-28-01-27-00;109.769
2009-07-28-01-28-00;114.339
2009-07-28-01-29-00;114.962
2009-07-28-01-30-00;112.943
2009-07-28-01-31-00;116.778
2009-07-28-01-32-00;112.485
2009-07-28-01-33-00;112.169
2009-07-28-01-34-00;113.469
2009-07-28-01-35-00;114.794
2009-07-28-01-36-00;116.813
2009-07-28-01-37-00;110.843
2009-07-28-01-38-00;113.951
