DateInfo;Pressure
2002-10-08-00-00-00; 98.118
2002-10-08-00-01-00;100.757
2002-10-08-00-02-00; 94.838
2002-10-08-00-03-00; 95.365
2002-10-08-00-04-00; 92.254
2002-10-08-00-05-00; 96.092
2002-10-08-00-06-00; 95.699
2002-10-08-00-07-00; 98.532
2002-10-08-00-08-00; 99.854
2002-10-08-00-09-00; 96.521
2002-10-08-00-10-00; 97.749
2002-10-08-00-11-00; 94.881
2002-10-08-00-12-00; 99.634
2002-10-08-00-13-00; 97.593
2002-10-08-00-14-00; 97.724
2002-10-08-00-15-00; 95.638
2002-10-08-00-16-00; 95.918
2002-10-08-00-17-00; 96.531
2002-10-08-00-18-00; 99.083
2002-10-08-00-19-00; 98.383
2002-10-08-00-20-00; 99.315
2002-10-08-00-21-00; 97.562
2002-10-08-00-22-00; 96.103
2002-10-08-00-23-00; 96.728
2002-10-08-00-24-00; 98.347
2002-10-08-00-25-00; 95.224
2002-10-08-00-26-00; 96.861
2002-10-08-00-27-00; 97.201
2002-10-08-00-28-00; 97.631
2002-10-08-00-29-00; 98.508
2002-10-08-00-30-00; 98.134
2002-10-08-00-31-00; 96.098
2002-10-08-00-32-00; 94.939
2002-10-08-00-33-00; 96.595
2002-10-08-00-34-00; 93.580
2002-10-08-00-35-00; 93.740
2002-10-08-00-36-00; 96.813
2002-10-08-00-37-00; 97.033
2002-10-08-00-38-00; 94.200
2002-10-08-00-39-00; 97.688
2002-10-08-00-40-00; 97.185
2002-10-08-00-41-00; 96.354
2002-10-08-00-42-00; 92.599
2002-10-08-00-43-00; 97.166
2002-10-08-00-44-00; 95.852
2002-10-08-00-45-00; 95.633
2002-10-08-00-46-00; 96.749
2002-10-08-00-47-00; 96.483
2002-10-08-00-48-00; 95.577
2002-10-08-00-49-00; 95.964
2002-10-08-00-50-00; 97.666
2002-10-08-00-51-00; 98.689
2002-10-08-00-52-00; 95.816
2002-10-08-00-53-00; 95.642
2002-10-08-00-54-00; 98.640
2002-10-08-00-55-00;100.847
2002-10-08-00-56-00;100.581
2002-10-08-00-57-00; 99.775
2002-10-08-00-58-00; 99.551
2002-10-08-00-59-00; 96.885
2002-10-08-01-00-00;100.231
2002-10-08-01-01-00; 94.237
2002-10-08-01-02-00; 98.698
2002-10-08-01-03-00; 98.259
2002-10-08-01-04-00; 95.108
2002-10-08-01-05-00; 96.245
2002-10-08-01-06-00; 97.759
2002-10-08-01-07-00; 98.323
2002-10-08-01-08-00; 96.454
2002-10-08-01-09-00; 95.867
2002-10-08-01-10-00; 99.719
2002-10-08-01-11-00; 95.069
2002-10-08-01-12-00; 91.668
2002-10-08-01-13-00; 95.811
2002-10-08-01-14-00; 98.677
2002-10-08-01-15-00; 96.101
2002-10-08-01-16-00; 96.073
2002-10-08-01-17-00; 94.036
2002-10-08-01-18-00; 96.199
2002-10-08-01-19-00; 97.551
2002-10-08-01-20-00; 93.529
2002-10-08-01-21-00; 93.151
2002-10-08-01-22-00; 98.481
2002-10-08-01-23-00; 96.109
2002-10-08-01-24-00;102.380
2002-10-08-01-25-00; 94.162
2002-10-08-01-26-00; 97.696
2002-10-08-01-27-00; 95.564
2002-10-08-01-28-00; 96.334
2002-10-08-01-29-00; 94.715
2002-10-08-01-30-00; 95.301
2002-10-08-01-31-00; 96.538
2002-10-08-01-32-00; 96.334
2002-10-08-01-33-00; 96.042
2002-10-08-01-34-00; 96.270
2002-10-08-01-35-00; 97.898
2002-10-08-01-36-00; 97.414
2002-10-08-01-37-00; 97.530
2002-10-08-01-38-00;100.905
2002-10-08-01-39-00; 98.419
2002-10-08-01-40-00; 95.112
2002-10-08-01-41-00; 97.290
2002-10-08-01-42-00; 98.722
2002-10-08-01-43-00; 97.711
2002-10-08-01-44-00; 98.590
2002-10-08-01-45-00; 95.480
2002-10-08-01-46-00; 94.808
2002-10-08-01-47-00; 96.440
2002-10-08-01-48-00; 97.479
2002-10-08-01-49-00; 95.267
2002-10-08-01-50-00; 97.018
2002-10-08-01-51-00; 97.828
2002-10-08-01-52-00; 95.604
2002-10-08-01-53-00; 94.419
2002-10-08-01-54-00; 94.302
2002-10-08-01-55-00; 96.333
2002-10-08-01-56-00; 96.805
2002-10-08-01-57-00; 96.885
2002-10-08-01-58-00; 99.015
2002-10-08-01-59-00; 96.518
2002-10-08-02-00-00; 98.755
2002-10-08-02-01-00;100.708
2002-10-08-02-02-00; 95.503
2002-10-08-02-03-00; 97.775
2002-10-08-02-04-00; 96.745
2002-10-08-02-05-00;101.177
2002-10-08-02-06-00; 91.977
2002-10-08-02-07-00; 98.592
2002-10-08-02-08-00; 96.461
2002-10-08-02-09-00; 97.026
2002-10-08-02-10-00; 94.192
2002-10-08-02-11-00; 96.991
2002-10-08-02-12-00; 97.949
2002-10-08-02-13-00; 99.074
2002-10-08-02-14-00; 99.598
2002-10-08-02-15-00; 98.528
2002-10-08-02-16-00; 98.247
2002-10-08-02-17-00; 95.773
2002-10-08-02-18-00; 98.419
2002-10-08-02-19-00; 99.182
2002-10-08-02-20-00; 95.911
2002-10-08-02-21-00; 94.454
2002-10-08-02-22-00; 98.118
2002-10-08-02-23-00; 93.731
2002-10-08-02-24-00;100.359
2002-10-08-02-25-00; 95.991
2002-10-08-02-26-00; 96.769
2002-10-08-02-27-00; 97.418
