DateInfo;Pressure
2019-01-02-00-00-00;112.006
2019-01-02-00-01-00;110.310
2019-01-02-00-02-00;109.321
2019-01-02-00-03-00;112.002
2019-01-02-00-04-00;107.108
2019-01-02-00-05-00;110.108
2019-01-02-00-06-00;111.329
2019-01-02-00-07-00;111.103
2019-01-02-00-08-00;111.344
2019-01-02-00-09-00;114.045
2019-01-02-00-10-00;110.842
2019-01-02-00-11-00;111.246
2019-01-02-00-12-00;108.629
2019-01-02-00-13-00;111.115
2019-01-02-00-14-00;111.556
2019-01-02-00-15-00;110.046
2019-01-02-00-16-00;110.639
2019-01-02-00-17-00;114.438
2019-01-02-00-18-00;109.457
2019-01-02-00-19-00;110.405
2019-01-02-00-20-00;112.948
2019-01-02-00-21-00;110.432
2019-01-02-00-22-00;111.575
2019-01-02-00-23-00;110.257
2019-01-02-00-24-00;110.117
2019-01-02-00-25-00;112.972
2019-01-02-00-26-00;111.308
2019-01-02-00-27-00;112.643
2019-01-02-00-28-00;108.863
2019-01-02-00-29-00;109.137
2019-01-02-00-30-00;108.800
2019-01-02-00-31-00;114.876
2019-01-02-00-32-00;112.785
2019-01-02-00-33-00;112.406
2019-01-02-00-34-00;111.551
2019-01-02-00-35-00;110.684
2019-01-02-00-36-00;119.791
2019-01-02-00-37-00;109.162
2019-01-02-00-38-00;112.316
2019-01-02-00-39-00;110.180
2019-01-02-00-40-00;107.447
2019-01-02-00-41-00;110.784
2019-01-02-00-42-00;109.805
2019-01-02-00-43-00;114.155
2019-01-02-00-44-00;115.452
2019-01-02-00-45-00;110.394
2019-01-02-00-46-00;110.945
2019-01-02-00-47-00;114.371
2019-01-02-00-48-00;113.609
2019-01-02-00-49-00;111.600
2019-01-02-00-50-00;108.743
2019-01-02-00-51-00;109.687
2019-01-02-00-52-00;114.074
2019-01-02-00-53-00;112.170
2019-01-02-00-54-00;111.578
2019-01-02-00-55-00;108.019
2019-01-02-00-56-00;111.786
2019-01-02-00-57-00;112.296
2019-01-02-00-58-00;109.802
2019-01-02-00-59-00;108.725
2019-01-02-01-00-00;110.984
2019-01-02-01-01-00;109.466
2019-01-02-01-02-00;113.106
2019-01-02-01-03-00;109.625
2019-01-02-01-04-00;113.772
2019-01-02-01-05-00;109.163
2019-01-02-01-06-00;110.482
2019-01-02-01-07-00;112.920
2019-01-02-01-08-00;113.318
2019-01-02-01-09-00;112.172
2019-01-02-01-10-00;110.580
2019-01-02-01-11-00;110.057
2019-01-02-01-12-00;110.603
2019-01-02-01-13-00;113.496
2019-01-02-01-14-00;112.419
2019-01-02-01-15-00;110.191
2019-01-02-01-16-00;110.382
2019-01-02-01-17-00;112.659
2019-01-02-01-18-00;110.695
2019-01-02-01-19-00;107.846
2019-01-02-01-20-00;110.484
2019-01-02-01-21-00;114.502
2019-01-02-01-22-00;109.699
2019-01-02-01-23-00;112.733
2019-01-02-01-24-00;110.402
2019-01-02-01-25-00;111.662
2019-01-02-01-26-00;110.155
2019-01-02-01-27-00;108.590
2019-01-02-01-28-00;111.774
2019-01-02-01-29-00;110.939
2019-01-02-01-30-00;110.292
2019-01-02-01-31-00;110.804
2019-01-02-01-32-00;112.634
2019-01-02-01-33-00;112.109
2019-01-02-01-34-00;112.240
2019-01-02-01-35-00;110.227
2019-01-02-01-36-00;109.981
2019-01-02-01-37-00;113.020
2019-01-02-01-38-00;111.729
2019-01-02-01-39-00;108.865
2019-01-02-01-40-00;113.689
2019-01-02-01-41-00;109.778
2019-01-02-01-42-00;109.793
2019-01-02-01-43-00;110.499
2019-01-02-01-44-00;112.044
2019-01-02-01-45-00;111.117
2019-01-02-01-46-00;113.222
2019-01-02-01-47-00;110.681
2019-01-02-01-48-00;108.871
2019-01-02-01-49-00;112.258
2019-01-02-01-50-00;109.681
2019-01-02-01-51-00;110.265
2019-01-02-01-52-00;110.490
2019-01-02-01-53-00;111.634
2019-01-02-01-54-00;107.616
2019-01-02-01-55-00;111.605
2019-01-02-01-56-00;117.746
2019-01-02-01-57-00;110.904
2019-01-02-01-58-00;110.632
2019-01-02-01-59-00;108.338
2019-01-02-02-00-00;109.938
2019-01-02-02-01-00;112.887
