DateInfo;Pressure
2017-04-21-00-00-00;109.704
2017-04-21-00-01-00;111.006
2017-04-21-00-02-00;112.435
2017-04-21-00-03-00;110.544
2017-04-21-00-04-00;109.464
2017-04-21-00-05-00;108.177
2017-04-21-00-06-00;110.702
2017-04-21-00-07-00;107.280
2017-04-21-00-08-00;109.304
2017-04-21-00-09-00;110.336
2017-04-21-00-10-00;109.304
2017-04-21-00-11-00;110.336
2017-04-21-00-12-00;110.922
2017-04-21-00-13-00;110.462
2017-04-21-00-14-00;109.414
2017-04-21-00-15-00;110.810
2017-04-21-00-16-00;114.052
2017-04-21-00-17-00;112.742
2017-04-21-00-18-00;112.670
2017-04-21-00-19-00;112.962
2017-04-21-00-20-00;114.895
2017-04-21-00-21-00;110.846
2017-04-21-00-22-00;109.007
2017-04-21-00-23-00;106.765
2017-04-21-00-24-00;113.491
2017-04-21-00-25-00;107.874
2017-04-21-00-26-00;106.718
2017-04-21-00-27-00;108.080
2017-04-21-00-28-00;109.750
2017-04-21-00-29-00;112.655
2017-04-21-00-30-00;110.082
2017-04-21-00-31-00;111.023
2017-04-21-00-32-00;108.111
2017-04-21-00-33-00;109.914
2017-04-21-00-34-00;111.629
2017-04-21-00-35-00;113.368
2017-04-21-00-36-00;112.600
2017-04-21-00-37-00;111.944
2017-04-21-00-38-00;107.572
2017-04-21-00-39-00;109.801
2017-04-21-00-40-00;112.866
2017-04-21-00-41-00;106.679
2017-04-21-00-42-00;112.581
2017-04-21-00-43-00;111.663
2017-04-21-00-44-00;107.484
2017-04-21-00-45-00;108.803
2017-04-21-00-46-00;112.687
2017-04-21-00-47-00;112.789
2017-04-21-00-48-00;109.623
2017-04-21-00-49-00;110.167
2017-04-21-00-50-00;110.577
2017-04-21-00-51-00;108.257
2017-04-21-00-52-00;112.004
2017-04-21-00-53-00;110.450
2017-04-21-00-54-00;110.252
2017-04-21-00-55-00;111.372
2017-04-21-00-56-00;106.907
2017-04-21-00-57-00;110.196
2017-04-21-00-58-00;111.259
2017-04-21-00-59-00;107.230
2017-04-21-01-00-00;110.800
2017-04-21-01-01-00;112.336
2017-04-21-01-02-00;109.215
2017-04-21-01-03-00;109.601
2017-04-21-01-04-00;106.686
2017-04-21-01-05-00;108.923
2017-04-21-01-06-00;108.726
2017-04-21-01-07-00;111.814
2017-04-21-01-08-00;109.190
2017-04-21-01-09-00;112.591
2017-04-21-01-10-00;110.387
2017-04-21-01-11-00;107.844
2017-04-21-01-12-00;109.678
2017-04-21-01-13-00;114.298
2017-04-21-01-14-00;109.118
2017-04-21-01-15-00;111.298
2017-04-21-01-16-00;111.305
2017-04-21-01-17-00;111.509
2017-04-21-01-18-00;113.760
2017-04-21-01-19-00;108.621
2017-04-21-01-20-00;111.815
2017-04-21-01-21-00;107.905
2017-04-21-01-22-00;112.647
2017-04-21-01-23-00;112.489
2017-04-21-01-24-00;111.316
2017-04-21-01-25-00;112.730
2017-04-21-01-26-00;109.829
2017-04-21-01-27-00;108.029
2017-04-21-01-28-00;112.797
2017-04-21-01-29-00;110.895
2017-04-21-01-30-00;108.845
2017-04-21-01-31-00;115.387
2017-04-21-01-32-00;112.246
2017-04-21-01-33-00;110.446
2017-04-21-01-34-00;110.948
2017-04-21-01-35-00;109.464
2017-04-21-01-36-00;112.038
2017-04-21-01-37-00;112.241
2017-04-21-01-38-00;107.807
2017-04-21-01-39-00;111.024
2017-04-21-01-40-00;108.709
2017-04-21-01-41-00;108.803
2017-04-21-01-42-00;113.268
2017-04-21-01-43-00;110.458
2017-04-21-01-44-00;108.355
2017-04-21-01-45-00;109.555
2017-04-21-01-46-00;111.444
2017-04-21-01-47-00;111.976
2017-04-21-01-48-00;116.670
2017-04-21-01-49-00;108.910
2017-04-21-01-50-00;112.568
2017-04-21-01-51-00;109.120
2017-04-21-01-52-00;106.997
2017-04-21-01-53-00;111.469
2017-04-21-01-54-00;108.970
2017-04-21-01-55-00;107.748
2017-04-21-01-56-00;110.863
2017-04-21-01-57-00;113.539
2017-04-21-01-58-00;110.196
2017-04-21-01-59-00;112.332
2017-04-21-02-00-00;110.116
2017-04-21-02-01-00;110.053
2017-04-21-02-02-00;111.281
2017-04-21-02-03-00;111.444
2017-04-21-02-04-00;111.521
2017-04-21-02-05-00;108.730
2017-04-21-02-06-00;109.143
2017-04-21-02-07-00;115.707
2017-04-21-02-08-00;106.603
2017-04-21-02-09-00;109.415
2017-04-21-02-10-00;110.720
