DateInfo;Pressure
2018-02-18-00-00-00;110.484
2018-02-18-00-01-00;112.574
2018-02-18-00-02-00;110.286
2018-02-18-00-03-00;108.791
2018-02-18-00-04-00;110.746
2018-02-18-00-05-00;110.995
2018-02-18-00-06-00;109.259
2018-02-18-00-07-00;107.166
2018-02-18-00-08-00;109.989
2018-02-18-00-09-00;109.164
2018-02-18-00-10-00;111.682
2018-02-18-00-11-00;108.629
2018-02-18-00-12-00;112.574
2018-02-18-00-13-00;108.589
2018-02-18-00-14-00;109.870
2018-02-18-00-15-00;109.818
2018-02-18-00-16-00;113.486
2018-02-18-00-17-00;107.150
2018-02-18-00-18-00;108.776
2018-02-18-00-19-00;111.778
2018-02-18-00-20-00;111.429
2018-02-18-00-21-00;112.132
2018-02-18-00-22-00;108.907
2018-02-18-00-23-00;113.390
2018-02-18-00-24-00;107.467
2018-02-18-00-25-00;113.120
2018-02-18-00-26-00;110.938
2018-02-18-00-27-00;110.133
2018-02-18-00-28-00;112.720
2018-02-18-00-29-00;107.463
2018-02-18-00-30-00;107.027
2018-02-18-00-31-00;108.983
2018-02-18-00-32-00;112.038
2018-02-18-00-33-00;108.994
2018-02-18-00-34-00;111.961
2018-02-18-00-35-00;110.871
2018-02-18-00-36-00;108.689
2018-02-18-00-37-00;109.641
2018-02-18-00-38-00;110.168
2018-02-18-00-39-00;108.026
2018-02-18-00-40-00;111.001
2018-02-18-00-41-00;110.438
2018-02-18-00-42-00;112.817
2018-02-18-00-43-00;113.523
2018-02-18-00-44-00;110.798
2018-02-18-00-45-00;109.303
2018-02-18-00-46-00;112.642
2018-02-18-00-47-00;109.549
2018-02-18-00-48-00;114.704
2018-02-18-00-49-00;110.441
2018-02-18-00-50-00;110.430
2018-02-18-00-51-00;109.843
2018-02-18-00-52-00;109.335
2018-02-18-00-53-00;109.038
2018-02-18-00-54-00;112.152
2018-02-18-00-55-00;110.525
2018-02-18-00-56-00;107.312
2018-02-18-00-57-00;110.553
2018-02-18-00-58-00;111.533
2018-02-18-00-59-00;107.237
2018-02-18-01-00-00;106.876
2018-02-18-01-01-00;113.590
2018-02-18-01-02-00;110.515
2018-02-18-01-03-00;111.487
2018-02-18-01-04-00;114.653
2018-02-18-01-05-00;108.443
2018-02-18-01-06-00;114.256
2018-02-18-01-07-00;109.197
2018-02-18-01-08-00;108.939
2018-02-18-01-09-00;109.158
2018-02-18-01-10-00;108.515
2018-02-18-01-11-00;108.662
2018-02-18-01-12-00;108.027
2018-02-18-01-13-00;110.507
2018-02-18-01-14-00;111.530
2018-02-18-01-15-00;110.082
2018-02-18-01-16-00;111.859
2018-02-18-01-17-00;113.089
2018-02-18-01-18-00;117.155
2018-02-18-01-19-00;111.561
2018-02-18-01-20-00;108.645
2018-02-18-01-21-00;110.300
2018-02-18-01-22-00;111.768
2018-02-18-01-23-00;111.094
2018-02-18-01-24-00;108.931
2018-02-18-01-25-00;112.780
2018-02-18-01-26-00;106.793
2018-02-18-01-27-00;111.057
2018-02-18-01-28-00;113.477
2018-02-18-01-29-00;109.919
2018-02-18-01-30-00;112.854
2018-02-18-01-31-00;111.723
2018-02-18-01-32-00;107.777
2018-02-18-01-33-00;110.010
2018-02-18-01-34-00;107.729
2018-02-18-01-35-00;107.392
2018-02-18-01-36-00;108.086
2018-02-18-01-37-00;107.669
2018-02-18-01-38-00;108.859
2018-02-18-01-39-00;113.936
2018-02-18-01-40-00;109.284
2018-02-18-01-41-00;112.922
2018-02-18-01-42-00;113.097
2018-02-18-01-43-00;110.546
2018-02-18-01-44-00;110.483
2018-02-18-01-45-00;109.749
2018-02-18-01-46-00;112.459
2018-02-18-01-47-00;115.090
2018-02-18-01-48-00;111.728
2018-02-18-01-49-00;113.724
2018-02-18-01-50-00;110.947
2018-02-18-01-51-00;108.733
2018-02-18-01-52-00;107.868
2018-02-18-01-53-00;112.153
2018-02-18-01-54-00;112.134
2018-02-18-01-55-00;110.308
2018-02-18-01-56-00;109.812
2018-02-18-01-57-00;104.269
2018-02-18-01-58-00;114.636
2018-02-18-01-59-00;112.069
2018-02-18-02-00-00;110.165
2018-02-18-02-01-00;112.315
2018-02-18-02-02-00;109.189
2018-02-18-02-03-00;108.058
2018-02-18-02-04-00;111.788
2018-02-18-02-05-00;114.336
2018-02-18-02-06-00;109.911
2018-02-18-02-07-00;111.062
2018-02-18-02-08-00;114.157
2018-02-18-02-09-00;110.677
2018-02-18-02-10-00;107.832
2018-02-18-02-11-00;112.137
2018-02-18-02-12-00;110.300
2018-02-18-02-13-00;108.257
2018-02-18-02-14-00;110.150
2018-02-18-02-15-00;111.700
2018-02-18-02-16-00;111.185
2018-02-18-02-17-00;110.796
2018-02-18-02-18-00;109.197
2018-02-18-02-19-00;111.428
2018-02-18-02-20-00;107.416
2018-02-18-02-21-00;110.979
2018-02-18-02-22-00;110.146
2018-02-18-02-23-00;108.487
2018-02-18-02-24-00;112.031
2018-02-18-02-25-00;109.539
2018-02-18-02-26-00;112.115
2018-02-18-02-27-00;106.050
2018-02-18-02-28-00;108.730
2018-02-18-02-29-00;113.096
2018-02-18-02-30-00;108.452
2018-02-18-02-31-00;112.767
2018-02-18-02-32-00;111.803
2018-02-18-02-33-00;108.861
2018-02-18-02-34-00;113.884
2018-02-18-02-35-00;111.704
2018-02-18-02-36-00;107.364
2018-02-18-02-37-00;112.307
2018-02-18-02-38-00;112.844
2018-02-18-02-39-00;108.694
2018-02-18-02-40-00;112.546
2018-02-18-02-41-00;106.959
2018-02-18-02-42-00;112.827
2018-02-18-02-43-00;108.766
2018-02-18-02-44-00;111.406
2018-02-18-02-45-00;109.790
2018-02-18-02-46-00;108.988
2018-02-18-02-47-00;107.451
2018-02-18-02-48-00;114.140
2018-02-18-02-49-00;110.825
2018-02-18-02-50-00;109.130
2018-02-18-02-51-00;107.666
2018-02-18-02-52-00;113.094
2018-02-18-02-53-00;114.228
2018-02-18-02-54-00;108.229
2018-02-18-02-55-00;110.292
2018-02-18-02-56-00;110.669
