DateInfo;Pressure
2021-10-30-00-00-00;114.562
2021-10-30-00-01-00;113.587
2021-10-30-00-02-00;109.910
2021-10-30-00-03-00;112.656
2021-10-30-00-04-00;111.595
2021-10-30-00-05-00;113.896
2021-10-30-00-06-00;114.981
2021-10-30-00-07-00;113.733
2021-10-30-00-08-00;112.006
2021-10-30-00-09-00;113.707
2021-10-30-00-10-00;110.594
2021-10-30-00-11-00;113.211
2021-10-30-00-12-00;108.224
2021-10-30-00-13-00;113.878
2021-10-30-00-14-00;111.722
2021-10-30-00-15-00;109.266
2021-10-30-00-16-00;111.935
2021-10-30-00-17-00;108.957
2021-10-30-00-18-00;112.140
2021-10-30-00-19-00;111.901
2021-10-30-00-20-00;111.405
2021-10-30-00-21-00;108.504
2021-10-30-00-22-00;110.567
2021-10-30-00-23-00;114.211
2021-10-30-00-24-00;115.152
2021-10-30-00-25-00;111.928
2021-10-30-00-26-00;111.124
2021-10-30-00-27-00;110.995
2021-10-30-00-28-00;109.943
2021-10-30-00-29-00;112.107
2021-10-30-00-30-00;113.441
2021-10-30-00-31-00;109.651
2021-10-30-00-32-00;112.132
2021-10-30-00-33-00;114.066
2021-10-30-00-34-00;109.565
2021-10-30-00-35-00;111.653
2021-10-30-00-36-00;111.893
2021-10-30-00-37-00;111.362
2021-10-30-00-38-00;108.710
2021-10-30-00-39-00;108.710
2021-10-30-00-40-00;112.620
2021-10-30-00-41-00;109.789
2021-10-30-00-42-00;108.899
2021-10-30-00-43-00;112.406
2021-10-30-00-44-00;108.737
2021-10-30-00-45-00;111.757
2021-10-30-00-46-00;112.056
2021-10-30-00-47-00;114.785
2021-10-30-00-48-00;110.423
2021-10-30-00-49-00;112.459
2021-10-30-00-50-00;112.356
2021-10-30-00-51-00;111.142
2021-10-30-00-52-00;111.484
2021-10-30-00-53-00;107.585
2021-10-30-00-54-00;111.073
2021-10-30-00-55-00;111.226
2021-10-30-00-56-00;110.482
2021-10-30-00-57-00;110.524
2021-10-30-00-58-00;108.865
2021-10-30-00-59-00;112.817
2021-10-30-01-00-00;110.713
2021-10-30-01-01-00;111.636
2021-10-30-01-02-00;113.963
2021-10-30-01-03-00;111.337
2021-10-30-01-04-00;111.559
2021-10-30-01-05-00;110.626
2021-10-30-01-06-00;109.985
2021-10-30-01-07-00;112.663
2021-10-30-01-08-00;109.507
2021-10-30-01-09-00;110.858
2021-10-30-01-10-00;111.483
2021-10-30-01-11-00;112.441
2021-10-30-01-12-00;112.364
2021-10-30-01-13-00;112.227
