DateInfo;Pressure
1999-06-15-00-00-00;106.680
1999-06-15-00-01-00;112.722
1999-06-15-00-02-00;110.491
1999-06-15-00-03-00;107.236
1999-06-15-00-04-00;112.117
1999-06-15-00-05-00;109.444
1999-06-15-00-06-00;110.438
1999-06-15-00-07-00;107.769
1999-06-15-00-08-00;107.698
1999-06-15-00-09-00;108.764
1999-06-15-00-10-00;108.925
1999-06-15-00-11-00;106.229
1999-06-15-00-12-00;111.178
1999-06-15-00-13-00;108.379
1999-06-15-00-14-00;110.577
1999-06-15-00-15-00;105.292
1999-06-15-00-16-00;110.056
1999-06-15-00-17-00;108.185
1999-06-15-00-18-00;109.180
1999-06-15-00-19-00;107.137
1999-06-15-00-20-00;109.912
1999-06-15-00-21-00;104.898
1999-06-15-00-22-00;105.891
1999-06-15-00-23-00;105.875
1999-06-15-00-24-00;108.886
1999-06-15-00-25-00;107.007
1999-06-15-00-26-00;106.770
1999-06-15-00-27-00;108.412
1999-06-15-00-28-00;106.680
1999-06-15-00-29-00;107.739
1999-06-15-00-30-00;103.694
1999-06-15-00-31-00;106.333
1999-06-15-00-32-00;108.590
1999-06-15-00-33-00;113.267
1999-06-15-00-34-00;108.021
1999-06-15-00-35-00;107.503
1999-06-15-00-36-00;110.271
1999-06-15-00-37-00;110.630
1999-06-15-00-38-00;104.718
1999-06-15-00-39-00;105.150
1999-06-15-00-40-00;106.278
1999-06-15-00-41-00;107.880
1999-06-15-00-42-00;106.491
1999-06-15-00-43-00;107.094
1999-06-15-00-44-00;103.846
1999-06-15-00-45-00;110.716
1999-06-15-00-46-00;106.028
1999-06-15-00-47-00;107.271
1999-06-15-00-48-00;108.308
1999-06-15-00-49-00;108.832
1999-06-15-00-50-00;107.049
1999-06-15-00-51-00;103.598
1999-06-15-00-52-00;109.632
1999-06-15-00-53-00;109.677
1999-06-15-00-54-00;111.909
1999-06-15-00-55-00;110.020
1999-06-15-00-56-00;110.240
1999-06-15-00-57-00;108.047
1999-06-15-00-58-00;107.831
1999-06-15-00-59-00;108.562
1999-06-15-01-00-00;108.660
1999-06-15-01-01-00;106.339
1999-06-15-01-02-00;103.665
1999-06-15-01-03-00;107.968
1999-06-15-01-04-00;108.972
1999-06-15-01-05-00;103.851
1999-06-15-01-06-00;109.086
1999-06-15-01-07-00;109.690
1999-06-15-01-08-00;110.639
1999-06-15-01-09-00;109.742
1999-06-15-01-10-00;107.661
1999-06-15-01-11-00;110.446
1999-06-15-01-12-00;112.395
1999-06-15-01-13-00;110.168
1999-06-15-01-14-00;110.531
1999-06-15-01-15-00;108.310
1999-06-15-01-16-00;105.948
1999-06-15-01-17-00;109.285
1999-06-15-01-18-00;110.485
1999-06-15-01-19-00;108.419
1999-06-15-01-20-00;108.237
1999-06-15-01-21-00;107.266
1999-06-15-01-22-00;106.540
1999-06-15-01-23-00;107.158
1999-06-15-01-24-00;108.539
1999-06-15-01-25-00;111.723
1999-06-15-01-26-00;107.224
1999-06-15-01-27-00;108.599
1999-06-15-01-28-00;108.558
1999-06-15-01-29-00;111.485
1999-06-15-01-30-00;107.414
1999-06-15-01-31-00;109.794
1999-06-15-01-32-00;108.312
1999-06-15-01-33-00;107.989
1999-06-15-01-34-00;108.195
1999-06-15-01-35-00;111.702
1999-06-15-01-36-00;107.416
1999-06-15-01-37-00;106.870
1999-06-15-01-38-00;108.749
1999-06-15-01-39-00;106.325
1999-06-15-01-40-00;106.820
1999-06-15-01-41-00;112.395
1999-06-15-01-42-00;112.575
1999-06-15-01-43-00;106.640
1999-06-15-01-44-00;109.157
1999-06-15-01-45-00;105.609
1999-06-15-01-46-00;107.234
1999-06-15-01-47-00;111.222
1999-06-15-01-48-00;108.423
1999-06-15-01-49-00;103.430
1999-06-15-01-50-00;110.498
1999-06-15-01-51-00;109.199
1999-06-15-01-52-00;107.279
1999-06-15-01-53-00;106.870
1999-06-15-01-54-00;107.557
1999-06-15-01-55-00;110.233
1999-06-15-01-56-00;109.233
1999-06-15-01-57-00;106.074
1999-06-15-01-58-00;108.911
1999-06-15-01-59-00;104.272
1999-06-15-02-00-00;109.142
1999-06-15-02-01-00;109.043
1999-06-15-02-02-00;109.027
1999-06-15-02-03-00;107.613
1999-06-15-02-04-00;108.427
1999-06-15-02-05-00;111.008
1999-06-15-02-06-00;108.887
1999-06-15-02-07-00;106.219
1999-06-15-02-08-00;108.242
1999-06-15-02-09-00;106.803
1999-06-15-02-10-00;111.636
1999-06-15-02-11-00;109.688
1999-06-15-02-12-00;108.550
1999-06-15-02-13-00;106.848
1999-06-15-02-14-00;105.369
1999-06-15-02-15-00;108.364
1999-06-15-02-16-00;107.885
1999-06-15-02-17-00;113.933
1999-06-15-02-18-00;112.232
1999-06-15-02-19-00;108.207
1999-06-15-02-20-00;107.864
1999-06-15-02-21-00;107.962
1999-06-15-02-22-00;107.068
1999-06-15-02-23-00;106.195
1999-06-15-02-24-00;109.788
1999-06-15-02-25-00;107.875
1999-06-15-02-26-00;106.277
1999-06-15-02-27-00;104.630
1999-06-15-02-28-00;106.023
1999-06-15-02-29-00;107.229
1999-06-15-02-30-00;103.500
1999-06-15-02-31-00;106.758
1999-06-15-02-32-00;107.324
1999-06-15-02-33-00;108.330
1999-06-15-02-34-00;108.290
1999-06-15-02-35-00;110.963
1999-06-15-02-36-00;102.552
1999-06-15-02-37-00;109.067
1999-06-15-02-38-00;106.266
1999-06-15-02-39-00;107.166
1999-06-15-02-40-00;109.106
1999-06-15-02-41-00;107.184
1999-06-15-02-42-00;110.306
1999-06-15-02-43-00;107.462
1999-06-15-02-44-00;104.585
1999-06-15-02-45-00;110.497
1999-06-15-02-46-00;108.563
1999-06-15-02-47-00;110.180
1999-06-15-02-48-00;109.231
1999-06-15-02-49-00;106.845
1999-06-15-02-50-00;106.723
1999-06-15-02-51-00;104.913
1999-06-15-02-52-00;108.330
1999-06-15-02-53-00;109.052
1999-06-15-02-54-00;106.978
1999-06-15-02-55-00;107.219
1999-06-15-02-56-00;109.196
1999-06-15-02-57-00;108.229
1999-06-15-02-58-00;109.325
1999-06-15-02-59-00;109.036
1999-06-15-03-00-00;104.076
1999-06-15-03-01-00;106.978
1999-06-15-03-02-00;108.832
1999-06-15-03-03-00;108.575
1999-06-15-03-04-00;110.054
1999-06-15-03-05-00;108.726
1999-06-15-03-06-00;107.676
1999-06-15-03-07-00;109.719
1999-06-15-03-08-00;107.597
1999-06-15-03-09-00;108.153
1999-06-15-03-10-00;106.078
1999-06-15-03-11-00;105.448
1999-06-15-03-12-00;110.246
1999-06-15-03-13-00;109.264
1999-06-15-03-14-00;104.426
1999-06-15-03-15-00;102.351
1999-06-15-03-16-00;109.130
1999-06-15-03-17-00;111.364
1999-06-15-03-18-00;107.076
1999-06-15-03-19-00;106.353
1999-06-15-03-20-00;108.354
1999-06-15-03-21-00;109.463
1999-06-15-03-22-00;108.646
1999-06-15-03-23-00;106.893
1999-06-15-03-24-00;105.492
1999-06-15-03-25-00;108.095
1999-06-15-03-26-00;107.910
1999-06-15-03-27-00;112.056
1999-06-15-03-28-00;110.028
1999-06-15-03-29-00;108.436
1999-06-15-03-30-00;108.529
1999-06-15-03-31-00;106.253
1999-06-15-03-32-00;111.125
1999-06-15-03-33-00;107.692
1999-06-15-03-34-00;109.546
1999-06-15-03-35-00;106.986
1999-06-15-03-36-00;110.007
1999-06-15-03-37-00;107.968
1999-06-15-03-38-00;109.181
1999-06-15-03-39-00;109.692
1999-06-15-03-40-00;111.805
1999-06-15-03-41-00;108.577
1999-06-15-03-42-00;109.348
1999-06-15-03-43-00;106.151
1999-06-15-03-44-00;106.816
1999-06-15-03-45-00;103.445
1999-06-15-03-46-00;107.319
1999-06-15-03-47-00;104.042
1999-06-15-03-48-00;101.662
1999-06-15-03-49-00;106.364
1999-06-15-03-50-00;106.377
1999-06-15-03-51-00;109.156
1999-06-15-03-52-00;104.654
1999-06-15-03-53-00;108.299
1999-06-15-03-54-00;109.840
1999-06-15-03-55-00;112.709
1999-06-15-03-56-00;104.344
1999-06-15-03-57-00;106.821
1999-06-15-03-58-00;110.159
1999-06-15-03-59-00;109.314
1999-06-15-04-00-00;107.436
1999-06-15-04-01-00;109.967
1999-06-15-04-02-00;109.869
1999-06-15-04-03-00;107.044
1999-06-15-04-04-00;105.056
1999-06-15-04-05-00;107.756
1999-06-15-04-06-00;108.976
1999-06-15-04-07-00;108.815
1999-06-15-04-08-00;105.555
1999-06-15-04-09-00;107.764
1999-06-15-04-10-00;109.662
1999-06-15-04-11-00;107.248
1999-06-15-04-12-00;108.315
1999-06-15-04-13-00;108.101
1999-06-15-04-14-00;107.799
1999-06-15-04-15-00;109.041
1999-06-15-04-16-00;106.741
1999-06-15-04-17-00;108.400
1999-06-15-04-18-00;104.312
1999-06-15-04-19-00;105.313
1999-06-15-04-20-00;107.844
1999-06-15-04-21-00;108.299
1999-06-15-04-22-00;108.310
1999-06-15-04-23-00;109.616
1999-06-15-04-24-00;107.112
1999-06-15-04-25-00;106.114
1999-06-15-04-26-00;105.038
1999-06-15-04-27-00;104.103
1999-06-15-04-28-00;113.560
1999-06-15-04-29-00;111.026
1999-06-15-04-30-00;110.237
1999-06-15-04-31-00;107.960
1999-06-15-04-32-00;108.138
1999-06-15-04-33-00;106.122
1999-06-15-04-34-00;108.029
1999-06-15-04-35-00;108.053
1999-06-15-04-36-00;111.809
1999-06-15-04-37-00;108.643
1999-06-15-04-38-00;106.676
1999-06-15-04-39-00;104.894
1999-06-15-04-40-00;104.272
1999-06-15-04-41-00;107.226
1999-06-15-04-42-00;107.597
1999-06-15-04-43-00;107.931
1999-06-15-04-44-00;108.717
1999-06-15-04-45-00;111.193
1999-06-15-04-46-00;104.468
1999-06-15-04-47-00;110.104
1999-06-15-04-48-00;104.956
1999-06-15-04-49-00;107.724
1999-06-15-04-50-00;104.667
1999-06-15-04-51-00;107.361
1999-06-15-04-52-00;107.674
1999-06-15-04-53-00;110.446
1999-06-15-04-54-00;109.764
1999-06-15-04-55-00;110.251
1999-06-15-04-56-00;105.746
1999-06-15-04-57-00;105.942
1999-06-15-04-58-00;110.015
1999-06-15-04-59-00;107.873
1999-06-15-05-00-00;106.358
1999-06-15-05-01-00;108.448
1999-06-15-05-02-00;108.029
1999-06-15-05-03-00;107.261
1999-06-15-05-04-00;106.281
1999-06-15-05-05-00;105.982
1999-06-15-05-06-00;107.700
1999-06-15-05-07-00;108.611
1999-06-15-05-08-00;111.076
1999-06-15-05-09-00;105.228
1999-06-15-05-10-00;109.774
1999-06-15-05-11-00;112.969
1999-06-15-05-12-00;108.024
1999-06-15-05-13-00;111.397
1999-06-15-05-14-00;104.976
1999-06-15-05-15-00;108.668
1999-06-15-05-16-00;109.544
1999-06-15-05-17-00;110.593
1999-06-15-05-18-00;110.217
1999-06-15-05-19-00;109.885
1999-06-15-05-20-00;106.286
1999-06-15-05-21-00;108.026
1999-06-15-05-22-00;111.652
1999-06-15-05-23-00;107.629
1999-06-15-05-24-00;103.762
1999-06-15-05-25-00;110.358
1999-06-15-05-26-00;108.837
1999-06-15-05-27-00;108.819
1999-06-15-05-28-00;106.911
1999-06-15-05-29-00;111.069
1999-06-15-05-30-00;110.592
1999-06-15-05-31-00;107.605
1999-06-15-05-32-00;107.949
1999-06-15-05-33-00;111.341
1999-06-15-05-34-00;107.340
1999-06-15-05-35-00;108.031
1999-06-15-05-36-00;111.003
1999-06-15-05-37-00;108.533
1999-06-15-05-38-00;110.570
1999-06-15-05-39-00;106.341
1999-06-15-05-40-00;113.678
1999-06-15-05-41-00;109.645
1999-06-15-05-42-00;109.491
1999-06-15-05-43-00;108.988
1999-06-15-05-44-00;107.097
1999-06-15-05-45-00;109.420
1999-06-15-05-46-00;108.056
1999-06-15-05-47-00;108.790
1999-06-15-05-48-00;110.080
1999-06-15-05-49-00;105.213
1999-06-15-05-50-00;107.091
1999-06-15-05-51-00;106.236
1999-06-15-05-52-00;107.470
1999-06-15-05-53-00;111.352
1999-06-15-05-54-00;107.857
1999-06-15-05-55-00;111.906
1999-06-15-05-56-00;108.188
1999-06-15-05-57-00;111.271
1999-06-15-05-58-00;111.906
1999-06-15-05-59-00;105.623
1999-06-15-06-00-00;109.273
1999-06-15-06-01-00;111.618
1999-06-15-06-02-00;102.749
1999-06-15-06-03-00;104.921
1999-06-15-06-04-00;107.107
1999-06-15-06-05-00;106.089
1999-06-15-06-06-00;107.982
1999-06-15-06-07-00;109.811
1999-06-15-06-08-00;106.497
1999-06-15-06-09-00;106.924
1999-06-15-06-10-00;108.215
1999-06-15-06-11-00;107.871
1999-06-15-06-12-00;109.467
1999-06-15-06-13-00;109.252
1999-06-15-06-14-00;109.104
1999-06-15-06-15-00;108.390
1999-06-15-06-16-00;108.255
1999-06-15-06-17-00;107.149
1999-06-15-06-18-00;105.828
1999-06-15-06-19-00;109.959
1999-06-15-06-20-00;107.961
1999-06-15-06-21-00;105.879
1999-06-15-06-22-00;107.208
1999-06-15-06-23-00;106.489
1999-06-15-06-24-00;111.993
1999-06-15-06-25-00;108.022
1999-06-15-06-26-00;105.235
1999-06-15-06-27-00;110.989
1999-06-15-06-28-00;111.842
1999-06-15-06-29-00;107.945
1999-06-15-06-30-00;108.891
1999-06-15-06-31-00;113.028
1999-06-15-06-32-00;107.359
1999-06-15-06-33-00;109.547
1999-06-15-06-34-00;109.711
1999-06-15-06-35-00;107.953
1999-06-15-06-36-00;107.441
1999-06-15-06-37-00;107.767
1999-06-15-06-38-00;110.782
1999-06-15-06-39-00;115.667
1999-06-15-06-40-00;111.172
1999-06-15-06-41-00;110.097
1999-06-15-06-42-00;107.062
1999-06-15-06-43-00;107.993
1999-06-15-06-44-00;112.981
1999-06-15-06-45-00;110.962
1999-06-15-06-46-00;107.711
1999-06-15-06-47-00;109.347
1999-06-15-06-48-00;108.910
1999-06-15-06-49-00;109.559
1999-06-15-06-50-00;105.479
1999-06-15-06-51-00;113.412
1999-06-15-06-52-00;107.855
1999-06-15-06-53-00;108.117
1999-06-15-06-54-00;109.874
1999-06-15-06-55-00;111.230
1999-06-15-06-56-00;107.136
1999-06-15-06-57-00;107.701
1999-06-15-06-58-00;110.502
1999-06-15-06-59-00;105.082
1999-06-15-07-00-00;109.572
1999-06-15-07-01-00;105.301
1999-06-15-07-02-00;103.920
1999-06-15-07-03-00;113.255
1999-06-15-07-04-00;109.869
1999-06-15-07-05-00;107.123
1999-06-15-07-06-00;108.846
1999-06-15-07-07-00;111.242
1999-06-15-07-08-00;107.621
1999-06-15-07-09-00;109.530
1999-06-15-07-10-00;107.308
1999-06-15-07-11-00;110.056
1999-06-15-07-12-00;108.982
1999-06-15-07-13-00;109.306
1999-06-15-07-14-00;105.703
1999-06-15-07-15-00;111.347
1999-06-15-07-16-00;111.665
1999-06-15-07-17-00;110.790
1999-06-15-07-18-00;109.665
1999-06-15-07-19-00;107.536
1999-06-15-07-20-00;110.594
1999-06-15-07-21-00;111.644
1999-06-15-07-22-00;105.414
1999-06-15-07-23-00;111.999
1999-06-15-07-24-00;112.369
1999-06-15-07-25-00;108.303
1999-06-15-07-26-00;107.422
1999-06-15-07-27-00;104.844
1999-06-15-07-28-00;107.184
1999-06-15-07-29-00;111.809
1999-06-15-07-30-00;109.181
1999-06-15-07-31-00;109.645
1999-06-15-07-32-00;112.105
1999-06-15-07-33-00;108.855
1999-06-15-07-34-00;109.086
1999-06-15-07-35-00;109.606
1999-06-15-07-36-00;110.840
1999-06-15-07-37-00;106.395
1999-06-15-07-38-00;112.115
1999-06-15-07-39-00;105.405
1999-06-15-07-40-00;111.015
1999-06-15-07-41-00;110.688
1999-06-15-07-42-00;109.265
1999-06-15-07-43-00;108.083
1999-06-15-07-44-00;107.863
1999-06-15-07-45-00;106.156
1999-06-15-07-46-00;112.764
1999-06-15-07-47-00;106.315
1999-06-15-07-48-00;112.241
1999-06-15-07-49-00;109.804
1999-06-15-07-50-00;106.883
1999-06-15-07-51-00;107.839
1999-06-15-07-52-00;111.758
1999-06-15-07-53-00;107.422
1999-06-15-07-54-00;104.911
1999-06-15-07-55-00;111.155
1999-06-15-07-56-00;108.192
1999-06-15-07-57-00;111.834
1999-06-15-07-58-00;105.708
1999-06-15-07-59-00;108.205
1999-06-15-08-00-00;108.773
1999-06-15-08-01-00;105.859
1999-06-15-08-02-00;111.636
1999-06-15-08-03-00;107.152
1999-06-15-08-04-00;110.629
1999-06-15-08-05-00;108.556
1999-06-15-08-06-00;111.583
1999-06-15-08-07-00;108.059
1999-06-15-08-08-00;111.289
1999-06-15-08-09-00;109.196
1999-06-15-08-10-00;109.048
1999-06-15-08-11-00;110.151
1999-06-15-08-12-00;104.774
1999-06-15-08-13-00;111.262
1999-06-15-08-14-00;111.300
1999-06-15-08-15-00;109.850
1999-06-15-08-16-00;108.939
1999-06-15-08-17-00;110.841
1999-06-15-08-18-00;107.223
1999-06-15-08-19-00;104.263
1999-06-15-08-20-00;108.801
1999-06-15-08-21-00;107.031
1999-06-15-08-22-00;105.666
1999-06-15-08-23-00;110.555
1999-06-15-08-24-00;110.781
1999-06-15-08-25-00;108.408
1999-06-15-08-26-00;108.631
1999-06-15-08-27-00;105.814
1999-06-15-08-28-00;111.640
1999-06-15-08-29-00;108.251
1999-06-15-08-30-00;109.312
1999-06-15-08-31-00;108.102
1999-06-15-08-32-00;107.496
1999-06-15-08-33-00;108.863
1999-06-15-08-34-00;108.249
1999-06-15-08-35-00;109.895
1999-06-15-08-36-00;103.473
1999-06-15-08-37-00;105.885
1999-06-15-08-38-00;108.148
1999-06-15-08-39-00;107.536
1999-06-15-08-40-00;109.697
1999-06-15-08-41-00;107.281
1999-06-15-08-42-00;109.933
1999-06-15-08-43-00;107.563
1999-06-15-08-44-00;108.145
1999-06-15-08-45-00;109.234
1999-06-15-08-46-00;108.145
1999-06-15-08-47-00;110.917
1999-06-15-08-48-00;108.201
1999-06-15-08-49-00;104.126
1999-06-15-08-50-00;110.278
1999-06-15-08-51-00;108.381
1999-06-15-08-52-00;106.239
1999-06-15-08-53-00;107.185
1999-06-15-08-54-00;110.162
1999-06-15-08-55-00;108.469
1999-06-15-08-56-00;109.004
1999-06-15-08-57-00;108.525
1999-06-15-08-58-00;107.491
1999-06-15-08-59-00;108.496
1999-06-15-09-00-00;107.837
1999-06-15-09-01-00;109.309
1999-06-15-09-02-00;109.694
1999-06-15-09-03-00;110.273
1999-06-15-09-04-00;111.537
1999-06-15-09-05-00;109.831
1999-06-15-09-06-00;113.299
1999-06-15-09-07-00;111.791
1999-06-15-09-08-00;114.059
1999-06-15-09-09-00;109.770
1999-06-15-09-10-00;106.978
1999-06-15-09-11-00;111.998
1999-06-15-09-12-00;112.694
1999-06-15-09-13-00;108.740
1999-06-15-09-14-00;107.510
1999-06-15-09-15-00;107.573
1999-06-15-09-16-00;107.576
1999-06-15-09-17-00;110.681
1999-06-15-09-18-00;106.002
1999-06-15-09-19-00;107.669
1999-06-15-09-20-00;111.609
1999-06-15-09-21-00;108.963
1999-06-15-09-22-00;106.355
1999-06-15-09-23-00;106.060
1999-06-15-09-24-00;110.928
1999-06-15-09-25-00;113.938
1999-06-15-09-26-00;108.538
1999-06-15-09-27-00;112.101
1999-06-15-09-28-00;107.422
1999-06-15-09-29-00;112.777
