DateInfo;Pressure
2021-04-17-00-00-00;111.068
2021-04-17-00-01-00;111.537
2021-04-17-00-02-00;108.554
2021-04-17-00-03-00;113.079
2021-04-17-00-04-00;112.128
2021-04-17-00-05-00;106.653
2021-04-17-00-06-00;109.529
2021-04-17-00-07-00;108.642
2021-04-17-00-08-00;113.756
2021-04-17-00-09-00;107.947
2021-04-17-00-10-00;108.906
2021-04-17-00-11-00;107.201
2021-04-17-00-12-00;112.976
2021-04-17-00-13-00;109.140
2021-04-17-00-14-00;113.347
2021-04-17-00-15-00;107.977
2021-04-17-00-16-00;109.689
2021-04-17-00-17-00;113.598
2021-04-17-00-18-00;107.225
2021-04-17-00-19-00;114.472
2021-04-17-00-20-00;113.534
2021-04-17-00-21-00;113.888
2021-04-17-00-22-00;113.930
2021-04-17-00-23-00;112.579
2021-04-17-00-24-00;111.122
2021-04-17-00-25-00;114.259
2021-04-17-00-26-00;110.394
2021-04-17-00-27-00;113.973
2021-04-17-00-28-00;110.991
2021-04-17-00-29-00;112.589
2021-04-17-00-30-00;113.185
2021-04-17-00-31-00;109.542
2021-04-17-00-32-00;111.673
2021-04-17-00-33-00;113.483
2021-04-17-00-34-00;110.032
2021-04-17-00-35-00;105.196
2021-04-17-00-36-00;112.751
2021-04-17-00-37-00;112.631
2021-04-17-00-38-00;109.785
2021-04-17-00-39-00;116.206
2021-04-17-00-40-00;108.821
2021-04-17-00-41-00;110.981
2021-04-17-00-42-00;112.119
2021-04-17-00-43-00;112.085
2021-04-17-00-44-00;110.388
2021-04-17-00-45-00;109.543
2021-04-17-00-46-00;110.297
2021-04-17-00-47-00;114.663
2021-04-17-00-48-00;110.698
2021-04-17-00-49-00;110.037
2021-04-17-00-50-00;111.572
2021-04-17-00-51-00;113.085
2021-04-17-00-52-00;112.936
2021-04-17-00-53-00;111.849
2021-04-17-00-54-00;108.587
2021-04-17-00-55-00;109.384
2021-04-17-00-56-00;112.134
2021-04-17-00-57-00;108.957
2021-04-17-00-58-00;112.548
2021-04-17-00-59-00;107.622
2021-04-17-01-00-00;111.426
2021-04-17-01-01-00;113.076
2021-04-17-01-02-00;112.927
2021-04-17-01-03-00;109.011
2021-04-17-01-04-00;110.461
2021-04-17-01-05-00;107.561
2021-04-17-01-06-00;114.714
2021-04-17-01-07-00;109.957
2021-04-17-01-08-00;107.483
2021-04-17-01-09-00;109.949
2021-04-17-01-10-00;109.011
2021-04-17-01-11-00;114.108
2021-04-17-01-12-00;111.749
2021-04-17-01-13-00;111.728
2021-04-17-01-14-00;110.094
2021-04-17-01-15-00;113.656
2021-04-17-01-16-00;111.979
2021-04-17-01-17-00;109.982
2021-04-17-01-18-00;109.043
2021-04-17-01-19-00;110.729
2021-04-17-01-20-00;113.118
2021-04-17-01-21-00;107.856
2021-04-17-01-22-00;109.691
2021-04-17-01-23-00;110.169
2021-04-17-01-24-00;114.594
2021-04-17-01-25-00;113.736
2021-04-17-01-26-00;112.592
2021-04-17-01-27-00;108.801
2021-04-17-01-28-00;108.238
2021-04-17-01-29-00;111.354
2021-04-17-01-30-00;117.877
2021-04-17-01-31-00;113.117
2021-04-17-01-32-00;108.379
2021-04-17-01-33-00;109.169
2021-04-17-01-34-00;110.207
2021-04-17-01-35-00;105.837
2021-04-17-01-36-00;107.822
2021-04-17-01-37-00;112.145
2021-04-17-01-38-00;112.401
2021-04-17-01-39-00;108.232
2021-04-17-01-40-00;111.774
2021-04-17-01-41-00;110.443
2021-04-17-01-42-00;107.683
2021-04-17-01-43-00;109.987
2021-04-17-01-44-00;111.003
2021-04-17-01-45-00;111.195
2021-04-17-01-46-00;114.002
2021-04-17-01-47-00;109.224
2021-04-17-01-48-00;109.139
2021-04-17-01-49-00;105.406
2021-04-17-01-50-00;107.241
2021-04-17-01-51-00;107.411
2021-04-17-01-52-00;113.042
2021-04-17-01-53-00;107.369
2021-04-17-01-54-00;108.670
2021-04-17-01-55-00;112.935
2021-04-17-01-56-00;110.973
2021-04-17-01-57-00;112.104
2021-04-17-01-58-00;108.968
2021-04-17-01-59-00;106.004
2021-04-17-02-00-00;110.141
2021-04-17-02-01-00;108.406
2021-04-17-02-02-00;113.119
2021-04-17-02-03-00;108.171
2021-04-17-02-04-00;111.925
2021-04-17-02-05-00;107.646
2021-04-17-02-06-00;107.731
2021-04-17-02-07-00;110.171
2021-04-17-02-08-00;107.398
2021-04-17-02-09-00;112.483
2021-04-17-02-10-00;105.358
2021-04-17-02-11-00;106.915
2021-04-17-02-12-00;112.077
2021-04-17-02-13-00;111.011
2021-04-17-02-14-00;111.928
2021-04-17-02-15-00;113.549
2021-04-17-02-16-00;112.333
2021-04-17-02-17-00;114.253
2021-04-17-02-18-00;115.840
2021-04-17-02-19-00;112.179
2021-04-17-02-20-00;111.940
2021-04-17-02-21-00;113.463
2021-04-17-02-22-00;110.518
2021-04-17-02-23-00;111.393
2021-04-17-02-24-00;115.512
2021-04-17-02-25-00;107.744
2021-04-17-02-26-00;113.882
2021-04-17-02-27-00;107.438
2021-04-17-02-28-00;110.878
2021-04-17-02-29-00;112.150
2021-04-17-02-30-00;113.144
2021-04-17-02-31-00;111.416
2021-04-17-02-32-00;110.981
2021-04-17-02-33-00;115.909
2021-04-17-02-34-00;109.168
2021-04-17-02-35-00;110.483
2021-04-17-02-36-00;110.291
2021-04-17-02-37-00;110.781
2021-04-17-02-38-00;112.884
2021-04-17-02-39-00;111.967
2021-04-17-02-40-00;112.373
2021-04-17-02-41-00;108.000
2021-04-17-02-42-00;111.532
2021-04-17-02-43-00;110.488
2021-04-17-02-44-00;109.613
2021-04-17-02-45-00;109.656
2021-04-17-02-46-00;110.991
2021-04-17-02-47-00;108.112
2021-04-17-02-48-00;110.160
2021-04-17-02-49-00;114.092
2021-04-17-02-50-00;109.336
2021-04-17-02-51-00;110.709
2021-04-17-02-52-00;111.656
2021-04-17-02-53-00;111.323
2021-04-17-02-54-00;112.133
2021-04-17-02-55-00;108.571
2021-04-17-02-56-00;111.800
2021-04-17-02-57-00;112.304
2021-04-17-02-58-00;110.875
2021-04-17-02-59-00;111.246
2021-04-17-03-00-00;112.312
2021-04-17-03-01-00;113.238
2021-04-17-03-02-00;109.504
2021-04-17-03-03-00;110.067
2021-04-17-03-04-00;111.390
2021-04-17-03-05-00;114.513
2021-04-17-03-06-00;109.571
2021-04-17-03-07-00;108.099
2021-04-17-03-08-00;112.303
2021-04-17-03-09-00;109.081
2021-04-17-03-10-00;115.303
2021-04-17-03-11-00;110.246
2021-04-17-03-12-00;108.710
2021-04-17-03-13-00;110.177
2021-04-17-03-14-00;108.798
2021-04-17-03-15-00;106.053
2021-04-17-03-16-00;108.337
2021-04-17-03-17-00;111.282
2021-04-17-03-18-00;110.642
2021-04-17-03-19-00;108.102
2021-04-17-03-20-00;107.966
2021-04-17-03-21-00;108.384
2021-04-17-03-22-00;109.934
2021-04-17-03-23-00;111.620
2021-04-17-03-24-00;110.489
2021-04-17-03-25-00;111.321
2021-04-17-03-26-00;107.395
2021-04-17-03-27-00;108.982
2021-04-17-03-28-00;107.155
2021-04-17-03-29-00;113.877
2021-04-17-03-30-00;109.276
2021-04-17-03-31-00;107.483
2021-04-17-03-32-00;114.364
2021-04-17-03-33-00;113.612
2021-04-17-03-34-00;106.071
2021-04-17-03-35-00;109.743
2021-04-17-03-36-00;112.676
2021-04-17-03-37-00;110.448
2021-04-17-03-38-00;109.636
2021-04-17-03-39-00;112.019
2021-04-17-03-40-00;114.338
2021-04-17-03-41-00;113.006
2021-04-17-03-42-00;113.360
2021-04-17-03-43-00;109.348
2021-04-17-03-44-00;111.311
2021-04-17-03-45-00;113.288
2021-04-17-03-46-00;110.527
2021-04-17-03-47-00;112.405
2021-04-17-03-48-00;109.665
2021-04-17-03-49-00;110.745
2021-04-17-03-50-00;111.313
2021-04-17-03-51-00;108.766
2021-04-17-03-52-00;115.175
2021-04-17-03-53-00;115.636
