DateInfo;Pressure
2009-05-14-00-00-00;110.336
2009-05-14-00-01-00;115.465
2009-05-14-00-02-00;117.860
2009-05-14-00-03-00;110.265
2009-05-14-00-04-00;112.776
2009-05-14-00-05-00;111.136
2009-05-14-00-06-00;113.101
2009-05-14-00-07-00;111.081
2009-05-14-00-08-00;114.176
2009-05-14-00-09-00;114.766
2009-05-14-00-10-00;113.380
2009-05-14-00-11-00;114.373
2009-05-14-00-12-00;111.279
2009-05-14-00-13-00;112.086
2009-05-14-00-14-00;113.064
2009-05-14-00-15-00;116.158
2009-05-14-00-16-00;117.624
2009-05-14-00-17-00;116.415
2009-05-14-00-18-00;107.419
2009-05-14-00-19-00;113.369
2009-05-14-00-20-00;114.524
2009-05-14-00-21-00;112.866
2009-05-14-00-22-00;114.044
2009-05-14-00-23-00;114.452
2009-05-14-00-24-00;115.442
2009-05-14-00-25-00;111.069
2009-05-14-00-26-00;116.210
2009-05-14-00-27-00;118.147
2009-05-14-00-28-00;114.444
2009-05-14-00-29-00;110.099
2009-05-14-00-30-00;113.593
2009-05-14-00-31-00;115.220
2009-05-14-00-32-00;115.257
2009-05-14-00-33-00;107.886
2009-05-14-00-34-00;114.965
2009-05-14-00-35-00;116.652
2009-05-14-00-36-00;113.935
2009-05-14-00-37-00;116.053
2009-05-14-00-38-00;113.955
2009-05-14-00-39-00;113.564
2009-05-14-00-40-00;117.269
2009-05-14-00-41-00;114.177
2009-05-14-00-42-00;113.266
2009-05-14-00-43-00;112.447
2009-05-14-00-44-00;113.414
2009-05-14-00-45-00;111.044
2009-05-14-00-46-00;112.532
2009-05-14-00-47-00;112.540
2009-05-14-00-48-00;113.968
2009-05-14-00-49-00;112.937
2009-05-14-00-50-00;110.265
2009-05-14-00-51-00;115.273
2009-05-14-00-52-00;112.482
2009-05-14-00-53-00;111.402
2009-05-14-00-54-00;111.830
2009-05-14-00-55-00;115.030
2009-05-14-00-56-00;113.190
2009-05-14-00-57-00;113.358
2009-05-14-00-58-00;107.798
2009-05-14-00-59-00;112.490
2009-05-14-01-00-00;115.379
2009-05-14-01-01-00;115.119
2009-05-14-01-02-00;112.163
2009-05-14-01-03-00;111.611
2009-05-14-01-04-00;111.491
2009-05-14-01-05-00;114.061
2009-05-14-01-06-00;114.970
2009-05-14-01-07-00;111.848
2009-05-14-01-08-00;113.929
2009-05-14-01-09-00;115.759
2009-05-14-01-10-00;119.350
2009-05-14-01-11-00;112.517
2009-05-14-01-12-00;115.639
2009-05-14-01-13-00;110.855
2009-05-14-01-14-00;110.595
2009-05-14-01-15-00;113.185
2009-05-14-01-16-00;110.031
2009-05-14-01-17-00;113.202
2009-05-14-01-18-00;110.471
2009-05-14-01-19-00;108.650
2009-05-14-01-20-00;113.846
2009-05-14-01-21-00;115.987
2009-05-14-01-22-00;115.679
2009-05-14-01-23-00;115.130
2009-05-14-01-24-00;112.728
2009-05-14-01-25-00;112.940
2009-05-14-01-26-00;111.800
2009-05-14-01-27-00;114.481
2009-05-14-01-28-00;111.619
2009-05-14-01-29-00;117.794
2009-05-14-01-30-00;112.592
2009-05-14-01-31-00;113.135
2009-05-14-01-32-00;117.036
2009-05-14-01-33-00;111.526
2009-05-14-01-34-00;113.038
2009-05-14-01-35-00;113.570
2009-05-14-01-36-00;110.378
2009-05-14-01-37-00;112.750
2009-05-14-01-38-00;108.118
2009-05-14-01-39-00;113.658
2009-05-14-01-40-00;110.158
2009-05-14-01-41-00;109.678
2009-05-14-01-42-00;113.547
2009-05-14-01-43-00;115.747
2009-05-14-01-44-00;115.516
2009-05-14-01-45-00;110.326
2009-05-14-01-46-00;111.250
2009-05-14-01-47-00;115.142
2009-05-14-01-48-00;112.750
2009-05-14-01-49-00;115.642
2009-05-14-01-50-00;110.242
2009-05-14-01-51-00;111.562
2009-05-14-01-52-00;113.262
2009-05-14-01-53-00;109.362
2009-05-14-01-54-00;113.973
2009-05-14-01-55-00;114.042
2009-05-14-01-56-00;114.819
2009-05-14-01-57-00;112.918
2009-05-14-01-58-00;113.947
2009-05-14-01-59-00;112.323
2009-05-14-02-00-00;111.475
2009-05-14-02-01-00;116.556
2009-05-14-02-02-00;113.227
2009-05-14-02-03-00;109.538
2009-05-14-02-04-00;116.142
2009-05-14-02-05-00;115.153
2009-05-14-02-06-00;109.713
2009-05-14-02-07-00;114.825
2009-05-14-02-08-00;113.845
2009-05-14-02-09-00;114.065
2009-05-14-02-10-00;111.162
2009-05-14-02-11-00;113.642
2009-05-14-02-12-00;112.082
2009-05-14-02-13-00;116.622
2009-05-14-02-14-00;113.750
2009-05-14-02-15-00;113.610
2009-05-14-02-16-00;113.530
2009-05-14-02-17-00;110.158
2009-05-14-02-18-00;116.396
2009-05-14-02-19-00;114.312
2009-05-14-02-20-00;110.047
2009-05-14-02-21-00;111.556
2009-05-14-02-22-00;111.864
2009-05-14-02-23-00;112.093
2009-05-14-02-24-00;108.330
2009-05-14-02-25-00;113.783
2009-05-14-02-26-00;113.162
2009-05-14-02-27-00;115.344
2009-05-14-02-28-00;117.735
2009-05-14-02-29-00;113.611
2009-05-14-02-30-00;114.372
2009-05-14-02-31-00;112.990
2009-05-14-02-32-00;109.511
2009-05-14-02-33-00;115.195
2009-05-14-02-34-00;117.409
2009-05-14-02-35-00;114.246
2009-05-14-02-36-00;116.007
2009-05-14-02-37-00;114.666
2009-05-14-02-38-00;111.893
2009-05-14-02-39-00;113.754
2009-05-14-02-40-00;116.448
2009-05-14-02-41-00;115.576
2009-05-14-02-42-00;112.350
2009-05-14-02-43-00;112.338
2009-05-14-02-44-00;112.887
2009-05-14-02-45-00;119.394
2009-05-14-02-46-00;114.389
2009-05-14-02-47-00;111.686
2009-05-14-02-48-00;117.063
2009-05-14-02-49-00;112.770
2009-05-14-02-50-00;115.985
2009-05-14-02-51-00;114.043
2009-05-14-02-52-00;115.275
2009-05-14-02-53-00;108.850
2009-05-14-02-54-00;116.334
2009-05-14-02-55-00;110.248
2009-05-14-02-56-00;111.377
2009-05-14-02-57-00;114.700
2009-05-14-02-58-00;113.699
2009-05-14-02-59-00;117.335
2009-05-14-03-00-00;111.669
2009-05-14-03-01-00;114.932
2009-05-14-03-02-00;117.246
2009-05-14-03-03-00;113.731
2009-05-14-03-04-00;115.464
2009-05-14-03-05-00;118.936
2009-05-14-03-06-00;114.740
2009-05-14-03-07-00;113.699
2009-05-14-03-08-00;113.719
2009-05-14-03-09-00;114.037
2009-05-14-03-10-00;111.645
2009-05-14-03-11-00;113.416
2009-05-14-03-12-00;112.226
2009-05-14-03-13-00;110.676
2009-05-14-03-14-00;112.678
2009-05-14-03-15-00;117.341
2009-05-14-03-16-00;115.287
2009-05-14-03-17-00;114.843
2009-05-14-03-18-00;109.612
2009-05-14-03-19-00;116.709
2009-05-14-03-20-00;111.623
2009-05-14-03-21-00;118.031
2009-05-14-03-22-00;113.875
2009-05-14-03-23-00;117.410
2009-05-14-03-24-00;111.115
2009-05-14-03-25-00;112.850
2009-05-14-03-26-00;113.797
2009-05-14-03-27-00;111.957
2009-05-14-03-28-00;108.210
2009-05-14-03-29-00;116.371
2009-05-14-03-30-00;115.690
2009-05-14-03-31-00;113.456
2009-05-14-03-32-00;113.849
2009-05-14-03-33-00;114.109
2009-05-14-03-34-00;111.965
2009-05-14-03-35-00;114.149
2009-05-14-03-36-00;114.350
2009-05-14-03-37-00;114.149
2009-05-14-03-38-00;111.235
2009-05-14-03-39-00;116.400
2009-05-14-03-40-00;113.523
2009-05-14-03-41-00;109.536
2009-05-14-03-42-00;113.154
2009-05-14-03-43-00;113.655
2009-05-14-03-44-00;109.568
2009-05-14-03-45-00;113.383
2009-05-14-03-46-00;118.590
2009-05-14-03-47-00;114.842
2009-05-14-03-48-00;112.879
2009-05-14-03-49-00;116.778
2009-05-14-03-50-00;114.943
2009-05-14-03-51-00;112.835
2009-05-14-03-52-00;110.350
2009-05-14-03-53-00;112.626
2009-05-14-03-54-00;118.000
2009-05-14-03-55-00;113.647
2009-05-14-03-56-00;114.680
2009-05-14-03-57-00;114.643
2009-05-14-03-58-00;110.937
2009-05-14-03-59-00;117.367
2009-05-14-04-00-00;113.473
2009-05-14-04-01-00;112.335
2009-05-14-04-02-00;113.052
2009-05-14-04-03-00;117.338
2009-05-14-04-04-00;115.192
2009-05-14-04-05-00;110.630
2009-05-14-04-06-00;111.897
2009-05-14-04-07-00;111.653
2009-05-14-04-08-00;119.366
2009-05-14-04-09-00;112.105
2009-05-14-04-10-00;109.821
2009-05-14-04-11-00;113.112
2009-05-14-04-12-00;116.503
2009-05-14-04-13-00;113.989
