DateInfo;Pressure
2018-05-25-00-00-00;108.019
2018-05-25-00-01-00;116.035
2018-05-25-00-02-00;108.908
2018-05-25-00-03-00;111.764
2018-05-25-00-04-00;111.120
2018-05-25-00-05-00;112.025
2018-05-25-00-06-00;108.679
2018-05-25-00-07-00;113.987
2018-05-25-00-08-00;113.103
2018-05-25-00-09-00;107.782
2018-05-25-00-10-00;107.730
2018-05-25-00-11-00;109.319
2018-05-25-00-12-00;115.492
2018-05-25-00-13-00;112.054
2018-05-25-00-14-00;105.535
2018-05-25-00-15-00;105.848
2018-05-25-00-16-00;109.950
2018-05-25-00-17-00;112.990
2018-05-25-00-18-00;111.981
2018-05-25-00-19-00;115.779
2018-05-25-00-20-00;108.743
2018-05-25-00-21-00;112.214
2018-05-25-00-22-00;109.974
2018-05-25-00-23-00;108.418
2018-05-25-00-24-00;104.384
2018-05-25-00-25-00;109.785
2018-05-25-00-26-00;107.654
2018-05-25-00-27-00;107.626
2018-05-25-00-28-00;108.088
2018-05-25-00-29-00;111.023
2018-05-25-00-30-00;109.805
2018-05-25-00-31-00;112.198
2018-05-25-00-32-00;111.192
2018-05-25-00-33-00;110.762
2018-05-25-00-34-00;107.517
2018-05-25-00-35-00;111.096
2018-05-25-00-36-00;109.809
2018-05-25-00-37-00;107.115
2018-05-25-00-38-00;106.492
2018-05-25-00-39-00;107.597
2018-05-25-00-40-00;104.931
2018-05-25-00-41-00;106.359
2018-05-25-00-42-00;109.769
2018-05-25-00-43-00;104.936
2018-05-25-00-44-00;113.190
2018-05-25-00-45-00;105.584
2018-05-25-00-46-00;107.525
2018-05-25-00-47-00;109.696
2018-05-25-00-48-00;114.781
2018-05-25-00-49-00;106.219
2018-05-25-00-50-00;107.586
2018-05-25-00-51-00;110.673
2018-05-25-00-52-00;111.761
2018-05-25-00-53-00;111.150
2018-05-25-00-54-00;112.187
2018-05-25-00-55-00;114.549
2018-05-25-00-56-00;112.118
2018-05-25-00-57-00;109.274
2018-05-25-00-58-00;111.082
2018-05-25-00-59-00;110.933
2018-05-25-01-00-00;105.248
2018-05-25-01-01-00;109.748
2018-05-25-01-02-00;113.766
2018-05-25-01-03-00;106.526
2018-05-25-01-04-00;108.868
2018-05-25-01-05-00;113.993
2018-05-25-01-06-00;109.265
2018-05-25-01-07-00;109.117
2018-05-25-01-08-00;106.426
2018-05-25-01-09-00;111.868
2018-05-25-01-10-00;111.044
2018-05-25-01-11-00;109.418
2018-05-25-01-12-00;110.683
2018-05-25-01-13-00;106.727
2018-05-25-01-14-00;110.594
2018-05-25-01-15-00;107.213
2018-05-25-01-16-00;106.021
2018-05-25-01-17-00;113.762
2018-05-25-01-18-00;105.804
2018-05-25-01-19-00;112.067
2018-05-25-01-20-00;111.557
2018-05-25-01-21-00;113.183
2018-05-25-01-22-00;110.453
2018-05-25-01-23-00;111.830
2018-05-25-01-24-00;106.921
2018-05-25-01-25-00;109.723
2018-05-25-01-26-00;107.655
2018-05-25-01-27-00;110.116
2018-05-25-01-28-00;108.872
2018-05-25-01-29-00;111.678
2018-05-25-01-30-00;110.080
2018-05-25-01-31-00;112.525
2018-05-25-01-32-00;105.860
2018-05-25-01-33-00;108.310
2018-05-25-01-34-00;108.049
2018-05-25-01-35-00;108.751
2018-05-25-01-36-00;113.007
2018-05-25-01-37-00;109.687
2018-05-25-01-38-00;111.513
2018-05-25-01-39-00;108.073
2018-05-25-01-40-00;111.493
2018-05-25-01-41-00;107.109
2018-05-25-01-42-00;114.227
2018-05-25-01-43-00;112.019
2018-05-25-01-44-00;112.251
2018-05-25-01-45-00;108.992
2018-05-25-01-46-00;107.190
2018-05-25-01-47-00;112.407
2018-05-25-01-48-00;113.250
2018-05-25-01-49-00;112.487
2018-05-25-01-50-00;105.364
2018-05-25-01-51-00;110.661
2018-05-25-01-52-00;110.561
2018-05-25-01-53-00;106.929
2018-05-25-01-54-00;114.626
2018-05-25-01-55-00;108.045
2018-05-25-01-56-00;112.089
2018-05-25-01-57-00;109.489
2018-05-25-01-58-00;107.732
2018-05-25-01-59-00;106.576
2018-05-25-02-00-00;110.236
2018-05-25-02-01-00;110.357
2018-05-25-02-02-00;109.983
2018-05-25-02-03-00;107.776
