DateInfo;Pressure
2018-05-12-00-00-00;107.332
2018-05-12-00-01-00;108.253
2018-05-12-00-02-00;110.830
2018-05-12-00-03-00;111.360
2018-05-12-00-04-00;108.449
2018-05-12-00-05-00;111.038
2018-05-12-00-06-00;112.371
2018-05-12-00-07-00;114.724
2018-05-12-00-08-00;111.124
2018-05-12-00-09-00;110.783
2018-05-12-00-10-00;112.057
2018-05-12-00-11-00;109.763
2018-05-12-00-12-00;112.822
2018-05-12-00-13-00;110.626
2018-05-12-00-14-00;111.724
2018-05-12-00-15-00;114.194
2018-05-12-00-16-00;109.069
2018-05-12-00-17-00;109.265
2018-05-12-00-18-00;110.021
2018-05-12-00-19-00;109.884
2018-05-12-00-20-00;107.876
2018-05-12-00-21-00;111.327
2018-05-12-00-22-00;110.190
2018-05-12-00-23-00;110.593
2018-05-12-00-24-00;116.101
2018-05-12-00-25-00;109.025
2018-05-12-00-26-00;106.437
2018-05-12-00-27-00;109.731
2018-05-12-00-28-00;108.311
2018-05-12-00-29-00;107.900
2018-05-12-00-30-00;108.311
2018-05-12-00-31-00;107.743
2018-05-12-00-32-00;108.143
2018-05-12-00-33-00;107.868
2018-05-12-00-34-00;109.554
2018-05-12-00-35-00;107.222
2018-05-12-00-36-00;112.522
2018-05-12-00-37-00;110.150
2018-05-12-00-38-00;105.708
2018-05-12-00-39-00;109.783
2018-05-12-00-40-00;109.085
2018-05-12-00-41-00;113.046
2018-05-12-00-42-00;108.046
2018-05-12-00-43-00;109.183
2018-05-12-00-44-00;111.309
2018-05-12-00-45-00;105.767
2018-05-12-00-46-00;107.528
2018-05-12-00-47-00;108.882
2018-05-12-00-48-00;111.754
2018-05-12-00-49-00;108.007
2018-05-12-00-50-00;106.556
2018-05-12-00-51-00;108.368
2018-05-12-00-52-00;106.720
2018-05-12-00-53-00;108.901
2018-05-12-00-54-00;108.933
2018-05-12-00-55-00;109.709
2018-05-12-00-56-00;106.857
2018-05-12-00-57-00;113.418
2018-05-12-00-58-00;113.234
2018-05-12-00-59-00;107.136
2018-05-12-01-00-00;109.578
2018-05-12-01-01-00;109.508
2018-05-12-01-02-00;111.900
2018-05-12-01-03-00;109.104
2018-05-12-01-04-00;112.477
2018-05-12-01-05-00;110.830
2018-05-12-01-06-00;109.387
2018-05-12-01-07-00;111.995
2018-05-12-01-08-00;109.917
2018-05-12-01-09-00;109.858
2018-05-12-01-10-00;103.708
2018-05-12-01-11-00;111.270
2018-05-12-01-12-00;107.924
2018-05-12-01-13-00;111.709
2018-05-12-01-14-00;111.003
2018-05-12-01-15-00;107.924
2018-05-12-01-16-00;108.580
2018-05-12-01-17-00;107.520
2018-05-12-01-18-00;105.030
2018-05-12-01-19-00;107.383
2018-05-12-01-20-00;111.129
2018-05-12-01-21-00;110.502
2018-05-12-01-22-00;110.090
2018-05-12-01-23-00;111.718
2018-05-12-01-24-00;113.444
2018-05-12-01-25-00;115.052
2018-05-12-01-26-00;114.063
2018-05-12-01-27-00;110.541
2018-05-12-01-28-00;109.011
2018-05-12-01-29-00;108.481
2018-05-12-01-30-00;112.491
2018-05-12-01-31-00;107.254
2018-05-12-01-32-00;111.263
2018-05-12-01-33-00;110.577
2018-05-12-01-34-00;111.322
2018-05-12-01-35-00;113.488
2018-05-12-01-36-00;110.946
2018-05-12-01-37-00;110.739
2018-05-12-01-38-00;105.665
2018-05-12-01-39-00;107.517
2018-05-12-01-40-00;115.327
2018-05-12-01-41-00;108.220
2018-05-12-01-42-00;107.172
2018-05-12-01-43-00;109.201
2018-05-12-01-44-00;111.506
2018-05-12-01-45-00;111.750
2018-05-12-01-46-00;112.947
2018-05-12-01-47-00;111.141
2018-05-12-01-48-00;108.519
2018-05-12-01-49-00;112.210
2018-05-12-01-50-00;111.287
2018-05-12-01-51-00;109.991
2018-05-12-01-52-00;109.128
2018-05-12-01-53-00;109.921
2018-05-12-01-54-00;108.311
2018-05-12-01-55-00;109.352
2018-05-12-01-56-00;108.291
2018-05-12-01-57-00;109.980
2018-05-12-01-58-00;108.813
2018-05-12-01-59-00;114.773
2018-05-12-02-00-00;110.317
2018-05-12-02-01-00;113.438
2018-05-12-02-02-00;109.265
2018-05-12-02-03-00;108.872
2018-05-12-02-04-00;111.895
2018-05-12-02-05-00;114.260
2018-05-12-02-06-00;108.398
2018-05-12-02-07-00;112.207
2018-05-12-02-08-00;113.098
2018-05-12-02-09-00;115.435
2018-05-12-02-10-00;112.529
2018-05-12-02-11-00;107.491
2018-05-12-02-12-00;112.596
2018-05-12-02-13-00;107.864
2018-05-12-02-14-00;111.371
2018-05-12-02-15-00;110.644
2018-05-12-02-16-00;113.247
2018-05-12-02-17-00;111.118
2018-05-12-02-18-00;112.159
2018-05-12-02-19-00;111.833
2018-05-12-02-20-00;112.717
2018-05-12-02-21-00;107.514
2018-05-12-02-22-00;111.048
2018-05-12-02-23-00;111.606
2018-05-12-02-24-00;106.501
2018-05-12-02-25-00;115.082
2018-05-12-02-26-00;111.870
2018-05-12-02-27-00;107.656
2018-05-12-02-28-00;108.822
2018-05-12-02-29-00;110.685
2018-05-12-02-30-00;112.697
2018-05-12-02-31-00;108.815
2018-05-12-02-32-00;114.462
2018-05-12-02-33-00;110.128
2018-05-12-02-34-00;112.612
2018-05-12-02-35-00;105.743
2018-05-12-02-36-00;110.212
2018-05-12-02-37-00;108.392
2018-05-12-02-38-00;110.267
2018-05-12-02-39-00;112.331
2018-05-12-02-40-00;109.650
2018-05-12-02-41-00;111.104
2018-05-12-02-42-00;112.135
2018-05-12-02-43-00;114.620
