DateInfo;Pressure
2018-04-20-00-00-00;113.263
2018-04-20-00-01-00;111.077
2018-04-20-00-02-00;113.323
2018-04-20-00-03-00;113.199
2018-04-20-00-04-00;111.461
2018-04-20-00-05-00;110.255
2018-04-20-00-06-00;113.872
2018-04-20-00-07-00;113.401
2018-04-20-00-08-00;114.187
2018-04-20-00-09-00;110.938
2018-04-20-00-10-00;111.669
2018-04-20-00-11-00;113.807
2018-04-20-00-12-00;112.732
2018-04-20-00-13-00;112.016
2018-04-20-00-14-00;106.107
2018-04-20-00-15-00;111.796
2018-04-20-00-16-00;110.046
2018-04-20-00-17-00;114.200
2018-04-20-00-18-00;111.690
2018-04-20-00-19-00;111.227
2018-04-20-00-20-00;109.253
2018-04-20-00-21-00;111.262
2018-04-20-00-22-00;112.923
2018-04-20-00-23-00;109.819
2018-04-20-00-24-00;112.200
2018-04-20-00-25-00;110.426
2018-04-20-00-26-00;113.427
2018-04-20-00-27-00;111.313
2018-04-20-00-28-00;113.313
2018-04-20-00-29-00;112.854
2018-04-20-00-30-00;110.018
2018-04-20-00-31-00;116.681
2018-04-20-00-32-00;109.934
2018-04-20-00-33-00;108.994
2018-04-20-00-34-00;110.634
2018-04-20-00-35-00;110.107
2018-04-20-00-36-00;114.178
2018-04-20-00-37-00;111.418
2018-04-20-00-38-00;112.398
2018-04-20-00-39-00;110.397
2018-04-20-00-40-00;112.706
2018-04-20-00-41-00;109.547
2018-04-20-00-42-00;107.284
2018-04-20-00-43-00;108.755
2018-04-20-00-44-00;107.103
2018-04-20-00-45-00;112.402
2018-04-20-00-46-00;108.426
2018-04-20-00-47-00;107.705
2018-04-20-00-48-00;112.354
2018-04-20-00-49-00;107.786
2018-04-20-00-50-00;111.404
2018-04-20-00-51-00;106.432
2018-04-20-00-52-00;112.181
2018-04-20-00-53-00;110.453
2018-04-20-00-54-00;112.188
2018-04-20-00-55-00;108.535
2018-04-20-00-56-00;110.625
2018-04-20-00-57-00;115.680
2018-04-20-00-58-00;112.072
2018-04-20-00-59-00;112.164
2018-04-20-01-00-00;111.844
2018-04-20-01-01-00;113.106
2018-04-20-01-02-00;114.849
2018-04-20-01-03-00;107.986
2018-04-20-01-04-00;112.282
2018-04-20-01-05-00;114.355
2018-04-20-01-06-00;112.165
2018-04-20-01-07-00;115.423
2018-04-20-01-08-00;110.729
2018-04-20-01-09-00;108.594
2018-04-20-01-10-00;111.521
2018-04-20-01-11-00;113.733
2018-04-20-01-12-00;109.247
2018-04-20-01-13-00;111.913
2018-04-20-01-14-00;113.380
2018-04-20-01-15-00;112.007
2018-04-20-01-16-00;114.385
2018-04-20-01-17-00;112.289
2018-04-20-01-18-00;109.422
2018-04-20-01-19-00;113.365
2018-04-20-01-20-00;114.186
2018-04-20-01-21-00;108.514
2018-04-20-01-22-00;109.523
2018-04-20-01-23-00;112.803
2018-04-20-01-24-00;111.359
2018-04-20-01-25-00;112.828
2018-04-20-01-26-00;111.094
2018-04-20-01-27-00;108.884
2018-04-20-01-28-00;106.991
2018-04-20-01-29-00;109.450
2018-04-20-01-30-00;111.760
2018-04-20-01-31-00;109.680
2018-04-20-01-32-00;111.042
2018-04-20-01-33-00;114.700
2018-04-20-01-34-00;110.958
2018-04-20-01-35-00;112.740
2018-04-20-01-36-00;115.704
2018-04-20-01-37-00;112.826
