DateInfo;Pressure
2019-03-21-00-00-00;113.065
2019-03-21-00-01-00;110.238
2019-03-21-00-02-00;114.389
2019-03-21-00-03-00;108.839
2019-03-21-00-04-00;112.258
2019-03-21-00-05-00;111.964
2019-03-21-00-06-00;115.243
2019-03-21-00-07-00;111.398
2019-03-21-00-08-00;113.589
2019-03-21-00-09-00;112.363
2019-03-21-00-10-00;113.415
2019-03-21-00-11-00;114.633
2019-03-21-00-12-00;109.546
2019-03-21-00-13-00;113.372
2019-03-21-00-14-00;112.172
2019-03-21-00-15-00;110.015
2019-03-21-00-16-00;113.850
2019-03-21-00-17-00;112.249
2019-03-21-00-18-00;115.755
2019-03-21-00-19-00;111.631
2019-03-21-00-20-00;108.760
2019-03-21-00-21-00;110.239
2019-03-21-00-22-00;108.282
2019-03-21-00-23-00;107.449
2019-03-21-00-24-00;110.954
2019-03-21-00-25-00;108.954
2019-03-21-00-26-00;111.286
2019-03-21-00-27-00;113.347
2019-03-21-00-28-00;113.947
2019-03-21-00-29-00;111.382
2019-03-21-00-30-00;107.251
2019-03-21-00-31-00;110.260
2019-03-21-00-32-00;114.146
2019-03-21-00-33-00;109.424
2019-03-21-00-34-00;110.876
2019-03-21-00-35-00;113.128
2019-03-21-00-36-00;111.832
2019-03-21-00-37-00;110.839
2019-03-21-00-38-00;110.133
2019-03-21-00-39-00;109.190
2019-03-21-00-40-00;112.793
2019-03-21-00-41-00;109.652
2019-03-21-00-42-00;109.655
2019-03-21-00-43-00;110.917
2019-03-21-00-44-00;113.405
2019-03-21-00-45-00;114.318
2019-03-21-00-46-00;110.952
2019-03-21-00-47-00;107.452
2019-03-21-00-48-00;109.966
2019-03-21-00-49-00;111.199
2019-03-21-00-50-00;114.124
2019-03-21-00-51-00;108.411
2019-03-21-00-52-00;110.648
2019-03-21-00-53-00;109.341
2019-03-21-00-54-00;112.119
2019-03-21-00-55-00;113.173
2019-03-21-00-56-00;112.468
2019-03-21-00-57-00;109.925
2019-03-21-00-58-00;110.194
2019-03-21-00-59-00;112.293
2019-03-21-01-00-00;112.564
2019-03-21-01-01-00;111.780
2019-03-21-01-02-00;110.003
2019-03-21-01-03-00;110.781
2019-03-21-01-04-00;106.846
2019-03-21-01-05-00;112.053
2019-03-21-01-06-00;108.928
2019-03-21-01-07-00;112.898
2019-03-21-01-08-00;109.410
2019-03-21-01-09-00;115.589
2019-03-21-01-10-00;111.184
2019-03-21-01-11-00;114.004
2019-03-21-01-12-00;113.248
2019-03-21-01-13-00;115.345
2019-03-21-01-14-00;112.282
2019-03-21-01-15-00;115.658
2019-03-21-01-16-00;108.636
2019-03-21-01-17-00;110.760
2019-03-21-01-18-00;109.788
2019-03-21-01-19-00;112.921
2019-03-21-01-20-00;111.712
2019-03-21-01-21-00;111.121
2019-03-21-01-22-00;111.695
2019-03-21-01-23-00;110.122
2019-03-21-01-24-00;110.599
2019-03-21-01-25-00;114.024
2019-03-21-01-26-00;112.144
2019-03-21-01-27-00;108.933
2019-03-21-01-28-00;111.831
2019-03-21-01-29-00;111.109
2019-03-21-01-30-00;111.309
2019-03-21-01-31-00;111.996
2019-03-21-01-32-00;113.405
2019-03-21-01-33-00;114.545
2019-03-21-01-34-00;111.830
2019-03-21-01-35-00;112.448
2019-03-21-01-36-00;108.586
2019-03-21-01-37-00;113.441
2019-03-21-01-38-00;108.450
2019-03-21-01-39-00;110.208
2019-03-21-01-40-00;112.043
2019-03-21-01-41-00;109.653
2019-03-21-01-42-00;113.757
2019-03-21-01-43-00;110.220
2019-03-21-01-44-00;111.993
2019-03-21-01-45-00;111.776
2019-03-21-01-46-00;110.942
2019-03-21-01-47-00;111.324
2019-03-21-01-48-00;113.142
2019-03-21-01-49-00;111.892
2019-03-21-01-50-00;111.459
2019-03-21-01-51-00;110.260
2019-03-21-01-52-00;109.999
2019-03-21-01-53-00;113.324
2019-03-21-01-54-00;111.499
2019-03-21-01-55-00;112.707
2019-03-21-01-56-00;111.517
2019-03-21-01-57-00;110.623
2019-03-21-01-58-00;109.163
2019-03-21-01-59-00;110.762
2019-03-21-02-00-00;109.268
2019-03-21-02-01-00;109.242
2019-03-21-02-02-00;113.378
2019-03-21-02-03-00;111.059
2019-03-21-02-04-00;111.379
2019-03-21-02-05-00;109.944
2019-03-21-02-06-00;112.367
2019-03-21-02-07-00;110.905
2019-03-21-02-08-00;109.739
2019-03-21-02-09-00;112.782
2019-03-21-02-10-00;114.035
2019-03-21-02-11-00;110.455
2019-03-21-02-12-00;112.125
2019-03-21-02-13-00;109.807
2019-03-21-02-14-00;110.946
2019-03-21-02-15-00;108.185
2019-03-21-02-16-00;115.220
2019-03-21-02-17-00;110.766
2019-03-21-02-18-00;112.372
2019-03-21-02-19-00;109.772
2019-03-21-02-20-00;112.505
2019-03-21-02-21-00;112.704
2019-03-21-02-22-00;110.512
2019-03-21-02-23-00;108.027
2019-03-21-02-24-00;112.236
2019-03-21-02-25-00;110.279
2019-03-21-02-26-00;112.660
2019-03-21-02-27-00;113.373
2019-03-21-02-28-00;110.868
2019-03-21-02-29-00;110.023
2019-03-21-02-30-00;110.399
2019-03-21-02-31-00;110.991
2019-03-21-02-32-00;110.730
2019-03-21-02-33-00;113.826
2019-03-21-02-34-00;115.035
2019-03-21-02-35-00;112.132
2019-03-21-02-36-00;110.290
2019-03-21-02-37-00;110.463
2019-03-21-02-38-00;110.533
2019-03-21-02-39-00;112.124
2019-03-21-02-40-00;109.378
2019-03-21-02-41-00;113.305
2019-03-21-02-42-00;113.461
2019-03-21-02-43-00;115.243
2019-03-21-02-44-00;111.729
2019-03-21-02-45-00;107.624
2019-03-21-02-46-00;110.632
2019-03-21-02-47-00;109.553
2019-03-21-02-48-00;112.771
2019-03-21-02-49-00;110.606
2019-03-21-02-50-00;110.597
2019-03-21-02-51-00;111.806
2019-03-21-02-52-00;111.779
2019-03-21-02-53-00;114.728
2019-03-21-02-54-00;112.337
2019-03-21-02-55-00;108.973
2019-03-21-02-56-00;112.965
2019-03-21-02-57-00;111.080
2019-03-21-02-58-00;112.445
2019-03-21-02-59-00;110.614
2019-03-21-03-00-00;109.435
2019-03-21-03-01-00;111.052
2019-03-21-03-02-00;114.612
2019-03-21-03-03-00;112.840
2019-03-21-03-04-00;109.835
2019-03-21-03-05-00;110.345
2019-03-21-03-06-00;113.375
2019-03-21-03-07-00;111.407
2019-03-21-03-08-00;110.265
2019-03-21-03-09-00;112.655
