DateInfo;Pressure
2017-09-14-00-00-00;103.810
2017-09-14-00-01-00;109.826
2017-09-14-00-02-00;108.718
2017-09-14-00-03-00;107.905
2017-09-14-00-04-00;108.803
2017-09-14-00-05-00;103.949
2017-09-14-00-06-00;102.038
2017-09-14-00-07-00;106.039
2017-09-14-00-08-00;106.689
2017-09-14-00-09-00;108.151
2017-09-14-00-10-00;105.652
2017-09-14-00-11-00;104.924
2017-09-14-00-12-00;104.452
2017-09-14-00-13-00;108.265
2017-09-14-00-14-00;109.619
2017-09-14-00-15-00;107.352
2017-09-14-00-16-00;109.463
2017-09-14-00-17-00;106.571
2017-09-14-00-18-00;107.445
2017-09-14-00-19-00;106.934
2017-09-14-00-20-00;111.574
2017-09-14-00-21-00;106.215
2017-09-14-00-22-00;107.390
2017-09-14-00-23-00;105.303
2017-09-14-00-24-00;107.622
2017-09-14-00-25-00;105.682
2017-09-14-00-26-00;106.802
2017-09-14-00-27-00;106.215
2017-09-14-00-28-00;105.326
2017-09-14-00-29-00;108.078
2017-09-14-00-30-00;107.807
2017-09-14-00-31-00;108.982
2017-09-14-00-32-00;109.886
2017-09-14-00-33-00;104.097
2017-09-14-00-34-00;109.344
2017-09-14-00-35-00;104.545
2017-09-14-00-36-00;106.330
2017-09-14-00-37-00;105.055
2017-09-14-00-38-00;105.001
2017-09-14-00-39-00;103.487
2017-09-14-00-40-00;107.334
2017-09-14-00-41-00;107.187
2017-09-14-00-42-00;106.647
2017-09-14-00-43-00;107.133
2017-09-14-00-44-00;105.796
2017-09-14-00-45-00;106.321
2017-09-14-00-46-00;110.321
2017-09-14-00-47-00;108.136
2017-09-14-00-48-00;108.475
2017-09-14-00-49-00;107.980
2017-09-14-00-50-00;105.101
2017-09-14-00-51-00;107.771
2017-09-14-00-52-00;110.504
2017-09-14-00-53-00;108.142
2017-09-14-00-54-00;105.332
2017-09-14-00-55-00;106.938
2017-09-14-00-56-00;106.104
2017-09-14-00-57-00;107.910
2017-09-14-00-58-00;106.706
2017-09-14-00-59-00;108.651
2017-09-14-01-00-00;103.294
2017-09-14-01-01-00;108.119
2017-09-14-01-02-00;107.015
2017-09-14-01-03-00;103.603
2017-09-14-01-04-00;107.423
2017-09-14-01-05-00;111.853
2017-09-14-01-06-00;109.669
2017-09-14-01-07-00;104.229
2017-09-14-01-08-00;107.531
2017-09-14-01-09-00;109.791
2017-09-14-01-10-00;104.907
2017-09-14-01-11-00;106.875
2017-09-14-01-12-00;107.376
2017-09-14-01-13-00;107.206
2017-09-14-01-14-00;104.907
2017-09-14-01-15-00;107.522
2017-09-14-01-16-00;105.910
2017-09-14-01-17-00;108.177
2017-09-14-01-18-00;108.424
2017-09-14-01-19-00;107.058
2017-09-14-01-20-00;105.732
2017-09-14-01-21-00;107.944
2017-09-14-01-22-00;107.096
2017-09-14-01-23-00;104.675
2017-09-14-01-24-00;107.326
2017-09-14-01-25-00;111.926
2017-09-14-01-26-00;108.227
2017-09-14-01-27-00;112.549
2017-09-14-01-28-00;107.742
2017-09-14-01-29-00;110.137
2017-09-14-01-30-00;106.547
2017-09-14-01-31-00;110.145
2017-09-14-01-32-00;106.609
2017-09-14-01-33-00;111.885
2017-09-14-01-34-00;109.134
2017-09-14-01-35-00;108.711
2017-09-14-01-36-00;105.183
2017-09-14-01-37-00;104.228
2017-09-14-01-38-00;109.019
2017-09-14-01-39-00;107.194
2017-09-14-01-40-00;106.809
2017-09-14-01-41-00;106.100
2017-09-14-01-42-00;106.331
2017-09-14-01-43-00;107.748
2017-09-14-01-44-00;108.133
2017-09-14-01-45-00;106.947
2017-09-14-01-46-00;105.699
2017-09-14-01-47-00;108.102
2017-09-14-01-48-00;108.118
2017-09-14-01-49-00;111.799
2017-09-14-01-50-00;105.699
2017-09-14-01-51-00;107.471
2017-09-14-01-52-00;105.199
2017-09-14-01-53-00;110.976
2017-09-14-01-54-00;107.356
2017-09-14-01-55-00;108.195
2017-09-14-01-56-00;106.624
2017-09-14-01-57-00;108.187
2017-09-14-01-58-00;108.565
2017-09-14-01-59-00;103.766
2017-09-14-02-00-00;109.596
2017-09-14-02-01-00;106.369
2017-09-14-02-02-00;106.885
2017-09-14-02-03-00;107.746
2017-09-14-02-04-00;106.815
2017-09-14-02-05-00;106.176
2017-09-14-02-06-00;106.799
2017-09-14-02-07-00;106.560
2017-09-14-02-08-00;106.483
2017-09-14-02-09-00;106.044
2017-09-14-02-10-00;106.144
2017-09-14-02-11-00;107.883
2017-09-14-02-12-00;108.814
2017-09-14-02-13-00;107.575
2017-09-14-02-14-00;104.528
2017-09-14-02-15-00;108.567
2017-09-14-02-16-00;106.359
2017-09-14-02-17-00;107.059
2017-09-14-02-18-00;106.267
2017-09-14-02-19-00;107.205
2017-09-14-02-20-00;106.674
2017-09-14-02-21-00;110.174
2017-09-14-02-22-00;108.558
2017-09-14-02-23-00;106.243
2017-09-14-02-24-00;109.088
2017-09-14-02-25-00;108.457
2017-09-14-02-26-00;104.343
2017-09-14-02-27-00;106.466
2017-09-14-02-28-00;108.872
2017-09-14-02-29-00;105.827
2017-09-14-02-30-00;109.841
2017-09-14-02-31-00;107.380
2017-09-14-02-32-00;105.789
2017-09-14-02-33-00;110.141
2017-09-14-02-34-00;102.652
2017-09-14-02-35-00;104.674
2017-09-14-02-36-00;107.642
2017-09-14-02-37-00;107.703
2017-09-14-02-38-00;110.555
2017-09-14-02-39-00;105.712
2017-09-14-02-40-00;107.580
2017-09-14-02-41-00;109.786
2017-09-14-02-42-00;106.165
2017-09-14-02-43-00;104.758
2017-09-14-02-44-00;104.750
2017-09-14-02-45-00;109.731
2017-09-14-02-46-00;104.950
2017-09-14-02-47-00;107.271
2017-09-14-02-48-00;108.578
2017-09-14-02-49-00;107.025
2017-09-14-02-50-00;108.485
2017-09-14-02-51-00;108.493
2017-09-14-02-52-00;109.507
2017-09-14-02-53-00;107.394
2017-09-14-02-54-00;110.744
2017-09-14-02-55-00;111.350
2017-09-14-02-56-00;105.987
2017-09-14-02-57-00;108.223
2017-09-14-02-58-00;106.410
2017-09-14-02-59-00;106.033
2017-09-14-03-00-00;108.968
2017-09-14-03-01-00;106.832
2017-09-14-03-02-00;109.675
2017-09-14-03-03-00;108.453
2017-09-14-03-04-00;107.454
2017-09-14-03-05-00;107.739
2017-09-14-03-06-00;111.165
2017-09-14-03-07-00;107.838
2017-09-14-03-08-00;106.502
2017-09-14-03-09-00;107.761
2017-09-14-03-10-00;109.805
2017-09-14-03-11-00;107.708
2017-09-14-03-12-00;106.256
2017-09-14-03-13-00;110.888
2017-09-14-03-14-00;105.972
2017-09-14-03-15-00;107.001
2017-09-14-03-16-00;106.463
2017-09-14-03-17-00;107.831
2017-09-14-03-18-00;107.747
2017-09-14-03-19-00;105.641
2017-09-14-03-20-00;110.352
2017-09-14-03-21-00;107.163
2017-09-14-03-22-00;104.965
2017-09-14-03-23-00;112.194
2017-09-14-03-24-00;106.939
2017-09-14-03-25-00;108.698
2017-09-14-03-26-00;107.607
2017-09-14-03-27-00;107.599
2017-09-14-03-28-00;108.650
2017-09-14-03-29-00;107.360
2017-09-14-03-30-00;109.012
2017-09-14-03-31-00;109.442
2017-09-14-03-32-00;108.167
2017-09-14-03-33-00;105.978
2017-09-14-03-34-00;105.333
2017-09-14-03-35-00;108.766
2017-09-14-03-36-00;107.952
2017-09-14-03-37-00;108.052
2017-09-14-03-38-00;107.369
2017-09-14-03-39-00;107.246
2017-09-14-03-40-00;109.412
2017-09-14-03-41-00;108.260
2017-09-14-03-42-00;107.177
2017-09-14-03-43-00;104.942
2017-09-14-03-44-00;109.686
2017-09-14-03-45-00;106.408
2017-09-14-03-46-00;109.801
2017-09-14-03-47-00;109.156
2017-09-14-03-48-00;106.868
2017-09-14-03-49-00;107.429
2017-09-14-03-50-00;107.367
2017-09-14-03-51-00;109.585
2017-09-14-03-52-00;104.765
2017-09-14-03-53-00;107.520
2017-09-14-03-54-00;109.815
2017-09-14-03-55-00;105.900
2017-09-14-03-56-00;106.468
2017-09-14-03-57-00;105.563
2017-09-14-03-58-00;109.861
2017-09-14-03-59-00;108.280
2017-09-14-04-00-00;109.815
2017-09-14-04-01-00;105.210
2017-09-14-04-02-00;105.563
2017-09-14-04-03-00;107.067
2017-09-14-04-04-00;107.267
2017-09-14-04-05-00;106.622
2017-09-14-04-06-00;104.104
2017-09-14-04-07-00;107.036
2017-09-14-04-08-00;103.974
2017-09-14-04-09-00;103.322
2017-09-14-04-10-00;107.175
2017-09-14-04-11-00;105.340
2017-09-14-04-12-00;106.876
2017-09-14-04-13-00;108.971
2017-09-14-04-14-00;109.478
2017-09-14-04-15-00;105.686
2017-09-14-04-16-00;107.612
2017-09-14-04-17-00;110.167
2017-09-14-04-18-00;108.778
2017-09-14-04-19-00;109.162
2017-09-14-04-20-00;104.995
2017-09-14-04-21-00;108.249
2017-09-14-04-22-00;104.519
2017-09-14-04-23-00;107.443
2017-09-14-04-24-00;104.404
2017-09-14-04-25-00;109.438
2017-09-14-04-26-00;106.261
2017-09-14-04-27-00;109.201
2017-09-14-04-28-00;104.104
2017-09-14-04-29-00;106.929
2017-09-14-04-30-00;108.095
2017-09-14-04-31-00;106.591
2017-09-14-04-32-00;111.073
2017-09-14-04-33-00;107.397
2017-09-14-04-34-00;108.740
2017-09-14-04-35-00;108.303
2017-09-14-04-36-00;108.303
2017-09-14-04-37-00;105.294
2017-09-14-04-38-00;105.801
2017-09-14-04-39-00;109.400
2017-09-14-04-40-00;109.185
2017-09-14-04-41-00;107.427
2017-09-14-04-42-00;105.816
2017-09-14-04-43-00;104.872
2017-09-14-04-44-00;105.900
2017-09-14-04-45-00;108.279
2017-09-14-04-46-00;105.017
2017-09-14-04-47-00;106.889
2017-09-14-04-48-00;108.876
2017-09-14-04-49-00;105.263
2017-09-14-04-50-00;106.543
2017-09-14-04-51-00;108.652
2017-09-14-04-52-00;107.985
2017-09-14-04-53-00;103.751
2017-09-14-04-54-00;105.316
2017-09-14-04-55-00;107.433
2017-09-14-04-56-00;107.417
2017-09-14-04-57-00;104.311
2017-09-14-04-58-00;105.599
2017-09-14-04-59-00;108.275
