DateInfo;Pressure
2018-01-21-00-00-00;112.132
2018-01-21-00-01-00;112.705
2018-01-21-00-02-00;108.873
2018-01-21-00-03-00;109.223
2018-01-21-00-04-00;106.823
2018-01-21-00-05-00;111.175
2018-01-21-00-06-00;109.706
2018-01-21-00-07-00;111.909
2018-01-21-00-08-00;111.408
2018-01-21-00-09-00;112.231
2018-01-21-00-10-00;112.150
2018-01-21-00-11-00;110.646
2018-01-21-00-12-00;109.402
2018-01-21-00-13-00;109.724
2018-01-21-00-14-00;108.793
2018-01-21-00-15-00;111.113
2018-01-21-00-16-00;111.023
2018-01-21-00-17-00;113.906
2018-01-21-00-18-00;108.749
2018-01-21-00-19-00;108.902
2018-01-21-00-20-00;109.252
2018-01-21-00-21-00;110.032
2018-01-21-00-22-00;106.809
2018-01-21-00-23-00;106.469
2018-01-21-00-24-00;115.493
2018-01-21-00-25-00;107.448
2018-01-21-00-26-00;110.948
2018-01-21-00-27-00;112.308
2018-01-21-00-28-00;110.787
2018-01-21-00-29-00;107.082
2018-01-21-00-30-00;113.480
2018-01-21-00-31-00;112.486
2018-01-21-00-32-00;110.471
2018-01-21-00-33-00;108.886
2018-01-21-00-34-00;111.213
2018-01-21-00-35-00;111.240
2018-01-21-00-36-00;112.403
2018-01-21-00-37-00;106.198
2018-01-21-00-38-00;108.831
2018-01-21-00-39-00;111.964
2018-01-21-00-40-00;114.650
2018-01-21-00-41-00;109.797
2018-01-21-00-42-00;115.241
2018-01-21-00-43-00;110.235
2018-01-21-00-44-00;109.832
2018-01-21-00-45-00;112.661
2018-01-21-00-46-00;108.479
2018-01-21-00-47-00;112.526
2018-01-21-00-48-00;109.661
2018-01-21-00-49-00;109.679
2018-01-21-00-50-00;110.870
2018-01-21-00-51-00;108.588
2018-01-21-00-52-00;106.994
2018-01-21-00-53-00;112.563
2018-01-21-00-54-00;110.790
2018-01-21-00-55-00;110.548
2018-01-21-00-56-00;107.440
2018-01-21-00-57-00;108.477
2018-01-21-00-58-00;111.853
2018-01-21-00-59-00;112.139
2018-01-21-01-00-00;109.898
2018-01-21-01-01-00;110.121
2018-01-21-01-02-00;112.567
2018-01-21-01-03-00;110.120
2018-01-21-01-04-00;113.417
2018-01-21-01-05-00;114.080
2018-01-21-01-06-00;110.890
2018-01-21-01-07-00;111.214
2018-01-21-01-08-00;114.180
2018-01-21-01-09-00;109.407
2018-01-21-01-10-00;112.981
2018-01-21-01-11-00;116.107
2018-01-21-01-12-00;113.243
2018-01-21-01-13-00;110.244
2018-01-21-01-14-00;112.428
2018-01-21-01-15-00;109.018
2018-01-21-01-16-00;109.610
2018-01-21-01-17-00;111.992
2018-01-21-01-18-00;111.096
2018-01-21-01-19-00;110.667
2018-01-21-01-20-00;113.307
2018-01-21-01-21-00;112.026
2018-01-21-01-22-00;108.606
2018-01-21-01-23-00;112.365
2018-01-21-01-24-00;109.749
2018-01-21-01-25-00;110.921
2018-01-21-01-26-00;113.061
2018-01-21-01-27-00;108.375
2018-01-21-01-28-00;108.204
2018-01-21-01-29-00;112.567
2018-01-21-01-30-00;112.575
2018-01-21-01-31-00;108.380
2018-01-21-01-32-00;110.825
2018-01-21-01-33-00;108.880
2018-01-21-01-34-00;112.994
2018-01-21-01-35-00;110.646
2018-01-21-01-36-00;113.361
2018-01-21-01-37-00;107.374
2018-01-21-01-38-00;109.525
2018-01-21-01-39-00;111.300
2018-01-21-01-40-00;115.199
2018-01-21-01-41-00;112.359
2018-01-21-01-42-00;109.222
2018-01-21-01-43-00;112.206
2018-01-21-01-44-00;113.747
2018-01-21-01-45-00;110.627
2018-01-21-01-46-00;106.117
2018-01-21-01-47-00;111.038
2018-01-21-01-48-00;111.548
2018-01-21-01-49-00;109.145
2018-01-21-01-50-00;109.486
2018-01-21-01-51-00;108.687
2018-01-21-01-52-00;106.804
2018-01-21-01-53-00;110.121
2018-01-21-01-54-00;108.731
2018-01-21-01-55-00;107.673
2018-01-21-01-56-00;108.255
2018-01-21-01-57-00;103.599
2018-01-21-01-58-00;108.603
2018-01-21-01-59-00;108.147
2018-01-21-02-00-00;110.586
2018-01-21-02-01-00;111.931
2018-01-21-02-02-00;111.204
2018-01-21-02-03-00;109.877
2018-01-21-02-04-00;113.383
2018-01-21-02-05-00;109.795
2018-01-21-02-06-00;115.410
2018-01-21-02-07-00;112.745
2018-01-21-02-08-00;111.454
2018-01-21-02-09-00;115.535
2018-01-21-02-10-00;109.453
2018-01-21-02-11-00;108.474
2018-01-21-02-12-00;108.859
2018-01-21-02-13-00;113.227
2018-01-21-02-14-00;111.495
2018-01-21-02-15-00;111.306
2018-01-21-02-16-00;112.840
2018-01-21-02-17-00;109.976
2018-01-21-02-18-00;112.470
2018-01-21-02-19-00;111.419
2018-01-21-02-20-00;110.053
2018-01-21-02-21-00;107.798
2018-01-21-02-22-00;109.125
2018-01-21-02-23-00;114.935
2018-01-21-02-24-00;106.501
2018-01-21-02-25-00;111.233
2018-01-21-02-26-00;110.154
2018-01-21-02-27-00;111.349
2018-01-21-02-28-00;112.248
2018-01-21-02-29-00;111.322
2018-01-21-02-30-00;111.448
2018-01-21-02-31-00;109.831
2018-01-21-02-32-00;109.274
2018-01-21-02-33-00;106.992
2018-01-21-02-34-00;105.501
2018-01-21-02-35-00;112.040
2018-01-21-02-36-00;109.928
